Comunidades y ciudades autónomas;País de nacimiento;Periodo;Total
06 Cantabria;Total;2020;3.382
06 Cantabria;Total;2019;5.461
06 Cantabria;Total;2018;4.614
06 Cantabria;Total;2017;3.596
06 Cantabria;Total;2016;2.875
06 Cantabria;Total;2015;2.165
06 Cantabria;Total;2014;1.952
06 Cantabria;Total;2013;1.898
06 Cantabria;España;2021;367
06 Cantabria;España;2020;318
06 Cantabria;España;2019;338
06 Cantabria;España;2018;366
06 Cantabria;España;2017;359
06 Cantabria;España;2016;348
06 Cantabria;España;2015;294
06 Cantabria;España;2014;256
06 Cantabria;España;2013;224
06 Cantabria;UE27_2020 sin España;2021;408
06 Cantabria;UE27_2020 sin España;2020;352
06 Cantabria;UE27_2020 sin España;2019;""
06 Cantabria;UE27_2020 sin España;2018;""
06 Cantabria;UE27_2020 sin España;2017;""
06 Cantabria;UE27_2020 sin España;2016;""
06 Cantabria;UE27_2020 sin España;2015;""
06 Cantabria;UE27_2020 sin España;2014;""
06 Cantabria;UE27_2020 sin España;2013;""
06 Cantabria;UE28 sin España;2021;""
06 Cantabria;UE28 sin España;2020;""
06 Cantabria;UE28 sin España;2019;510
06 Cantabria;UE28 sin España;2018;523
06 Cantabria;UE28 sin España;2017;458
06 Cantabria;UE28 sin España;2016;440
06 Cantabria;UE28 sin España;2015;423
06 Cantabria;UE28 sin España;2014;382
06 Cantabria;UE28 sin España;2013;353
06 Cantabria;Europa menos UE27_2020;2021;347
06 Cantabria;Europa menos UE27_2020;2020;331
06 Cantabria;Europa menos UE27_2020;2019;""
06 Cantabria;Europa menos UE27_2020;2018;""
06 Cantabria;Europa menos UE27_2020;2017;""
06 Cantabria;Europa menos UE27_2020;2016;""
06 Cantabria;Europa menos UE27_2020;2015;""
06 Cantabria;Europa menos UE27_2020;2014;""
06 Cantabria;Europa menos UE27_2020;2013;""
06 Cantabria;Europa menos UE28;2021;""
06 Cantabria;Europa menos UE28;2020;""
06 Cantabria;Europa menos UE28;2019;407
06 Cantabria;Europa menos UE28;2018;371
06 Cantabria;Europa menos UE28;2017;324
06 Cantabria;Europa menos UE28;2016;217
06 Cantabria;Europa menos UE28;2015;212
06 Cantabria;Europa menos UE28;2014;158
06 Cantabria;Europa menos UE28;2013;139
06 Cantabria;África;2021;373
06 Cantabria;África;2020;217
06 Cantabria;África;2019;479
06 Cantabria;África;2018;424
06 Cantabria;África;2017;272
06 Cantabria;África;2016;240
06 Cantabria;África;2015;185
06 Cantabria;África;2014;194
06 Cantabria;África;2013;238
06 Cantabria;América del Norte;2021;221
06 Cantabria;América del Norte;2020;136
06 Cantabria;América del Norte;2019;207
06 Cantabria;América del Norte;2018;166
06 Cantabria;América del Norte;2017;154
06 Cantabria;América del Norte;2016;135
06 Cantabria;América del Norte;2015;122
06 Cantabria;América del Norte;2014;101
06 Cantabria;América del Norte;2013;76
06 Cantabria;Centro América y Caribe;2021;415
06 Cantabria;Centro América y Caribe;2020;300
06 Cantabria;Centro América y Caribe;2019;588
06 Cantabria;Centro América y Caribe;2018;507
06 Cantabria;Centro América y Caribe;2017;419
06 Cantabria;Centro América y Caribe;2016;353
06 Cantabria;Centro América y Caribe;2015;229
06 Cantabria;Centro América y Caribe;2014;207
06 Cantabria;Centro América y Caribe;2013;261
06 Cantabria;Sudamérica;2021;1.541
06 Cantabria;Sudamérica;2020;1.630
06 Cantabria;Sudamérica;2019;2.692
06 Cantabria;Sudamérica;2018;2.086
06 Cantabria;Sudamérica;2017;1.456
06 Cantabria;Sudamérica;2016;1.029
06 Cantabria;Sudamérica;2015;565
06 Cantabria;Sudamérica;2014;507
06 Cantabria;Sudamérica;2013;491
06 Cantabria;Asia;2021;206
06 Cantabria;Asia;2020;92
06 Cantabria;Asia;2019;234
06 Cantabria;Asia;2018;163
06 Cantabria;Asia;2017;149
06 Cantabria;Asia;2016;107
06 Cantabria;Asia;2015;129
06 Cantabria;Asia;2014;139
06 Cantabria;Asia;2013;106
06 Cantabria;Oceanía ;2021;4
06 Cantabria;Oceanía ;2020;6
06 Cantabria;Oceanía ;2019;6
06 Cantabria;Oceanía ;2018;8
06 Cantabria;Oceanía ;2017;5
06 Cantabria;Oceanía ;2016;5
06 Cantabria;Oceanía ;2015;7
06 Cantabria;Oceanía ;2014;9
06 Cantabria;Oceanía ;2013;10
07 Castilla y León;Total;2021;14.592
07 Castilla y León;Total;2020;12.633
07 Castilla y León;Total;2019;19.843
07 Castilla y León;Total;2018;15.832
07 Castilla y León;Total;2017;12.850
07 Castilla y León;Total;2016;10.012
07 Castilla y León;Total;2015;8.145
07 Castilla y León;Total;2014;7.884
07 Castilla y León;Total;2013;7.588
07 Castilla y León;España;2021;1.170
07 Castilla y León;España;2020;1.075
07 Castilla y León;España;2019;1.358
07 Castilla y León;España;2018;1.213
07 Castilla y León;España;2017;1.413
07 Castilla y León;España;2016;1.267
07 Castilla y León;España;2015;1.141
07 Castilla y León;España;2014;1.068
07 Castilla y León;España;2013;856
07 Castilla y León;UE27_2020 sin España;2021;1.972
07 Castilla y León;UE27_2020 sin España;2020;1.843
07 Castilla y León;UE27_2020 sin España;2019;""
07 Castilla y León;UE27_2020 sin España;2018;""
07 Castilla y León;UE27_2020 sin España;2017;""
07 Castilla y León;UE27_2020 sin España;2016;""
07 Castilla y León;UE27_2020 sin España;2015;""
07 Castilla y León;UE27_2020 sin España;2014;""
07 Castilla y León;UE27_2020 sin España;2013;""
07 Castilla y León;UE28 sin España;2021;""
07 Castilla y León;UE28 sin España;2020;""
07 Castilla y León;UE28 sin España;2019;2.933
07 Castilla y León;UE28 sin España;2018;2.613
07 Castilla y León;UE28 sin España;2017;2.703
07 Castilla y León;UE28 sin España;2016;2.303
07 Castilla y León;UE28 sin España;2015;2.133
07 Castilla y León;UE28 sin España;2014;2.258
07 Castilla y León;UE28 sin España;2013;2.059
07 Castilla y León;Europa menos UE27_2020;2021;444
07 Castilla y León;Europa menos UE27_2020;2020;455
07 Castilla y León;Europa menos UE27_2020;2019;""
07 Castilla y León;Europa menos UE27_2020;2018;""
07 Castilla y León;Europa menos UE27_2020;2017;""
07 Castilla y León;Europa menos UE27_2020;2016;""
07 Castilla y León;Europa menos UE27_2020;2015;""
07 Castilla y León;Europa menos UE27_2020;2014;""
07 Castilla y León;Europa menos UE27_2020;2013;""
07 Castilla y León;Europa menos UE28;2021;""
07 Castilla y León;Europa menos UE28;2020;""
07 Castilla y León;Europa menos UE28;2019;436
07 Castilla y León;Europa menos UE28;2018;391
07 Castilla y León;Europa menos UE28;2017;396
07 Castilla y León;Europa menos UE28;2016;289
07 Castilla y León;Europa menos UE28;2015;267
07 Castilla y León;Europa menos UE28;2014;228
07 Castilla y León;Europa menos UE28;2013;186
07 Castilla y León;África;2021;3.020
07 Castilla y León;África;2020;1.781
07 Castilla y León;África;2019;2.507
07 Castilla y León;África;2018;2.134
07 Castilla y León;África;2017;1.395
07 Castilla y León;África;2016;1.107
07 Castilla y León;África;2015;996
07 Castilla y León;África;2014;909
07 Castilla y León;África;2013;1.001
07 Castilla y León;América del Norte;2021;460
07 Castilla y León;América del Norte;2020;309
07 Castilla y León;América del Norte;2019;427
07 Castilla y León;América del Norte;2018;396
07 Castilla y León;América del Norte;2017;386
07 Castilla y León;América del Norte;2016;306
07 Castilla y León;América del Norte;2015;308
07 Castilla y León;América del Norte;2014;270
07 Castilla y León;América del Norte;2013;271
07 Castilla y León;Centro América y Caribe;2021;1.563
07 Castilla y León;Centro América y Caribe;2020;1.500
07 Castilla y León;Centro América y Caribe;2019;2.626
07 Castilla y León;Centro América y Caribe;2018;2.182
07 Castilla y León;Centro América y Caribe;2017;1.645
07 Castilla y León;Centro América y Caribe;2016;1.246
07 Castilla y León;Centro América y Caribe;2015;992
07 Castilla y León;Centro América y Caribe;2014;1.031
07 Castilla y León;Centro América y Caribe;2013;1.110
07 Castilla y León;Sudamérica;2021;4.976
07 Castilla y León;Sudamérica;2020;5.082
07 Castilla y León;Sudamérica;2019;8.402
07 Castilla y León;Sudamérica;2018;5.846
07 Castilla y León;Sudamérica;2017;3.993
07 Castilla y León;Sudamérica;2016;2.678
07 Castilla y León;Sudamérica;2015;1.712
07 Castilla y León;Sudamérica;2014;1.529
07 Castilla y León;Sudamérica;2013;1.501
07 Castilla y León;Asia;2021;974
07 Castilla y León;Asia;2020;573
07 Castilla y León;Asia;2019;1.129
07 Castilla y León;Asia;2018;1.030
07 Castilla y León;Asia;2017;909
07 Castilla y León;Asia;2016;802
07 Castilla y León;Asia;2015;580
07 Castilla y León;Asia;2014;576
07 Castilla y León;Asia;2013;589
07 Castilla y León;Oceanía ;2021;13
07 Castilla y León;Oceanía ;2020;15
07 Castilla y León;Oceanía ;2019;25
07 Castilla y León;Oceanía ;2018;27
07 Castilla y León;Oceanía ;2017;10
07 Castilla y León;Oceanía ;2016;14
07 Castilla y León;Oceanía ;2015;15
07 Castilla y León;Oceanía ;2014;15
07 Castilla y León;Oceanía ;2013;14
08 Castilla - La Mancha;Total;2021;15.006
08 Castilla - La Mancha;Total;2020;14.104
08 Castilla - La Mancha;Total;2019;22.330
08 Castilla - La Mancha;Total;2018;17.806
08 Castilla - La Mancha;Total;2017;13.173
08 Castilla - La Mancha;Total;2016;10.074
08 Castilla - La Mancha;Total;2015;8.258
08 Castilla - La Mancha;Total;2014;7.579
08 Castilla - La Mancha;Total;2013;6.646
08 Castilla - La Mancha;España;2021;833
08 Castilla - La Mancha;España;2020;666
08 Castilla - La Mancha;España;2019;895
08 Castilla - La Mancha;España;2018;805
08 Castilla - La Mancha;España;2017;937
08 Castilla - La Mancha;España;2016;812
08 Castilla - La Mancha;España;2015;734
08 Castilla - La Mancha;España;2014;663
08 Castilla - La Mancha;España;2013;516
08 Castilla - La Mancha;UE27_2020 sin España;2021;2.245
08 Castilla - La Mancha;UE27_2020 sin España;2020;2.137
08 Castilla - La Mancha;UE27_2020 sin España;2019;""
08 Castilla - La Mancha;UE27_2020 sin España;2018;""
08 Castilla - La Mancha;UE27_2020 sin España;2017;""
08 Castilla - La Mancha;UE27_2020 sin España;2016;""
08 Castilla - La Mancha;UE27_2020 sin España;2015;""
08 Castilla - La Mancha;UE27_2020 sin España;2014;""
08 Castilla - La Mancha;UE27_2020 sin España;2013;""
08 Castilla - La Mancha;UE28 sin España;2021;""
08 Castilla - La Mancha;UE28 sin España;2020;""
08 Castilla - La Mancha;UE28 sin España;2019;3.351
08 Castilla - La Mancha;UE28 sin España;2018;3.249
08 Castilla - La Mancha;UE28 sin España;2017;3.138
08 Castilla - La Mancha;UE28 sin España;2016;2.952
08 Castilla - La Mancha;UE28 sin España;2015;2.824
08 Castilla - La Mancha;UE28 sin España;2014;2.827
08 Castilla - La Mancha;UE28 sin España;2013;2.103
08 Castilla - La Mancha;Europa menos UE27_2020;2021;348
08 Castilla - La Mancha;Europa menos UE27_2020;2020;368
08 Castilla - La Mancha;Europa menos UE27_2020;2019;""
08 Castilla - La Mancha;Europa menos UE27_2020;2018;""
08 Castilla - La Mancha;Europa menos UE27_2020;2017;""
08 Castilla - La Mancha;Europa menos UE27_2020;2016;""
08 Castilla - La Mancha;Europa menos UE27_2020;2015;""
08 Castilla - La Mancha;Europa menos UE27_2020;2014;""
08 Castilla - La Mancha;Europa menos UE27_2020;2013;""
08 Castilla - La Mancha;Europa menos UE28;2021;""
08 Castilla - La Mancha;Europa menos UE28;2020;""
08 Castilla - La Mancha;Europa menos UE28;2019;400
08 Castilla - La Mancha;Europa menos UE28;2018;441
08 Castilla - La Mancha;Europa menos UE28;2017;362
08 Castilla - La Mancha;Europa menos UE28;2016;348
08 Castilla - La Mancha;Europa menos UE28;2015;350
08 Castilla - La Mancha;Europa menos UE28;2014;290
08 Castilla - La Mancha;Europa menos UE28;2013;215
08 Castilla - La Mancha;África;2021;4.683
08 Castilla - La Mancha;África;2020;3.159
08 Castilla - La Mancha;África;2019;4.876
08 Castilla - La Mancha;África;2018;3.796
08 Castilla - La Mancha;África;2017;2.418
08 Castilla - La Mancha;África;2016;1.727
08 Castilla - La Mancha;África;2015;1.481
08 Castilla - La Mancha;África;2014;1.244
08 Castilla - La Mancha;África;2013;1.224
08 Castilla - La Mancha;América del Norte;2021;292
08 Castilla - La Mancha;América del Norte;2020;157
08 Castilla - La Mancha;América del Norte;2019;316
08 Castilla - La Mancha;América del Norte;2018;271
08 Castilla - La Mancha;América del Norte;2017;232
08 Castilla - La Mancha;América del Norte;2016;216
08 Castilla - La Mancha;América del Norte;2015;154
08 Castilla - La Mancha;América del Norte;2014;153
08 Castilla - La Mancha;América del Norte;2013;132
08 Castilla - La Mancha;Centro América y Caribe;2021;1.252
08 Castilla - La Mancha;Centro América y Caribe;2020;1.419
08 Castilla - La Mancha;Centro América y Caribe;2019;2.474
08 Castilla - La Mancha;Centro América y Caribe;2018;1.673
08 Castilla - La Mancha;Centro América y Caribe;2017;1.081
08 Castilla - La Mancha;Centro América y Caribe;2016;727
08 Castilla - La Mancha;Centro América y Caribe;2015;574
08 Castilla - La Mancha;Centro América y Caribe;2014;586
08 Castilla - La Mancha;Centro América y Caribe;2013;672
08 Castilla - La Mancha;Sudamérica;2021;4.782
08 Castilla - La Mancha;Sudamérica;2020;5.764
08 Castilla - La Mancha;Sudamérica;2019;9.187
08 Castilla - La Mancha;Sudamérica;2018;6.774
08 Castilla - La Mancha;Sudamérica;2017;4.284
08 Castilla - La Mancha;Sudamérica;2016;2.734
08 Castilla - La Mancha;Sudamérica;2015;1.577
08 Castilla - La Mancha;Sudamérica;2014;1.333
08 Castilla - La Mancha;Sudamérica;2013;1.313
08 Castilla - La Mancha;Asia;2021;566
08 Castilla - La Mancha;Asia;2020;429
08 Castilla - La Mancha;Asia;2019;821
08 Castilla - La Mancha;Asia;2018;789
08 Castilla - La Mancha;Asia;2017;712
08 Castilla - La Mancha;Asia;2016;546
08 Castilla - La Mancha;Asia;2015;558
08 Castilla - La Mancha;Asia;2014;470
08 Castilla - La Mancha;Asia;2013;460
08 Castilla - La Mancha;Oceanía ;2021;5
08 Castilla - La Mancha;Oceanía ;2020;5
08 Castilla - La Mancha;Oceanía ;2019;10
08 Castilla - La Mancha;Oceanía ;2018;8
08 Castilla - La Mancha;Oceanía ;2017;9
08 Castilla - La Mancha;Oceanía ;2016;11
08 Castilla - La Mancha;Oceanía ;2015;6
08 Castilla - La Mancha;Oceanía ;2014;11
08 Castilla - La Mancha;Oceanía ;2013;10
09 Cataluña;Total;2021;113.022
09 Cataluña;Total;2020;100.796
09 Cataluña;Total;2019;169.334
09 Cataluña;Total;2018;144.461
09 Cataluña;Total;2017;123.308
09 Cataluña;Total;2016;93.921
09 Cataluña;Total;2015;79.328
09 Cataluña;Total;2014;69.476
09 Cataluña;Total;2013;65.001
09 Cataluña;España;2021;5.353
09 Cataluña;España;2020;4.264
09 Cataluña;España;2019;5.827
09 Cataluña;España;2018;5.621
09 Cataluña;España;2017;6.749
09 Cataluña;España;2016;5.615
09 Cataluña;España;2015;5.302
09 Cataluña;España;2014;4.407
09 Cataluña;España;2013;3.646
09 Cataluña;UE27_2020 sin España;2021;16.455
09 Cataluña;UE27_2020 sin España;2020;13.764
09 Cataluña;UE27_2020 sin España;2019;""
09 Cataluña;UE27_2020 sin España;2018;""
09 Cataluña;UE27_2020 sin España;2017;""
09 Cataluña;UE27_2020 sin España;2016;""
09 Cataluña;UE27_2020 sin España;2015;""
09 Cataluña;UE27_2020 sin España;2014;""
09 Cataluña;UE27_2020 sin España;2013;""
09 Cataluña;UE28 sin España;2021;""
09 Cataluña;UE28 sin España;2020;""
09 Cataluña;UE28 sin España;2019;22.369
09 Cataluña;UE28 sin España;2018;21.984
09 Cataluña;UE28 sin España;2017;22.601
09 Cataluña;UE28 sin España;2016;18.293
09 Cataluña;UE28 sin España;2015;17.672
09 Cataluña;UE28 sin España;2014;16.110
09 Cataluña;UE28 sin España;2013;14.093
09 Cataluña;Europa menos UE27_2020;2021;9.650
09 Cataluña;Europa menos UE27_2020;2020;7.553
09 Cataluña;Europa menos UE27_2020;2019;""
09 Cataluña;Europa menos UE27_2020;2018;""
09 Cataluña;Europa menos UE27_2020;2017;""
09 Cataluña;Europa menos UE27_2020;2016;""
09 Cataluña;Europa menos UE27_2020;2015;""
09 Cataluña;Europa menos UE27_2020;2014;""
09 Cataluña;Europa menos UE27_2020;2013;""
09 Cataluña;Europa menos UE28;2021;""
09 Cataluña;Europa menos UE28;2020;""
09 Cataluña;Europa menos UE28;2019;8.763
09 Cataluña;Europa menos UE28;2018;8.210
09 Cataluña;Europa menos UE28;2017;7.479
09 Cataluña;Europa menos UE28;2016;6.338
09 Cataluña;Europa menos UE28;2015;6.328
09 Cataluña;Europa menos UE28;2014;5.888
09 Cataluña;Europa menos UE28;2013;5.200
09 Cataluña;África;2021;18.843
09 Cataluña;África;2020;16.686
09 Cataluña;África;2019;28.477
09 Cataluña;África;2018;23.879
09 Cataluña;África;2017;14.842
09 Cataluña;África;2016;11.936
09 Cataluña;África;2015;10.084
09 Cataluña;África;2014;8.890
09 Cataluña;África;2013;9.661
09 Cataluña;América del Norte;2021;3.901
09 Cataluña;América del Norte;2020;2.573
09 Cataluña;América del Norte;2019;4.431
09 Cataluña;América del Norte;2018;4.038
09 Cataluña;América del Norte;2017;4.152
09 Cataluña;América del Norte;2016;3.121
09 Cataluña;América del Norte;2015;3.043
09 Cataluña;América del Norte;2014;2.708
09 Cataluña;América del Norte;2013;2.530
09 Cataluña;Centro América y Caribe;2021;8.672
09 Cataluña;Centro América y Caribe;2020;11.079
09 Cataluña;Centro América y Caribe;2019;18.666
09 Cataluña;Centro América y Caribe;2018;15.295
09 Cataluña;Centro América y Caribe;2017;13.123
09 Cataluña;Centro América y Caribe;2016;9.224
09 Cataluña;Centro América y Caribe;2015;7.127
09 Cataluña;Centro América y Caribe;2014;6.376
09 Cataluña;Centro América y Caribe;2013;5.773
09 Cataluña;Sudamérica;2021;36.514
09 Cataluña;Sudamérica;2020;33.667
09 Cataluña;Sudamérica;2019;59.850
09 Cataluña;Sudamérica;2018;46.788
09 Cataluña;Sudamérica;2017;39.113
09 Cataluña;Sudamérica;2016;26.838
09 Cataluña;Sudamérica;2015;18.573
09 Cataluña;Sudamérica;2014;14.609
09 Cataluña;Sudamérica;2013;12.733
09 Cataluña;Asia;2021;13.430
09 Cataluña;Asia;2020;11.007
09 Cataluña;Asia;2019;20.620
09 Cataluña;Asia;2018;18.381
09 Cataluña;Asia;2017;15.000
09 Cataluña;Asia;2016;12.340
09 Cataluña;Asia;2015;11.031
09 Cataluña;Asia;2014;10.316
09 Cataluña;Asia;2013;11.215
09 Cataluña;Oceanía ;2021;204
09 Cataluña;Oceanía ;2020;203
09 Cataluña;Oceanía ;2019;331
09 Cataluña;Oceanía ;2018;265
09 Cataluña;Oceanía ;2017;249
09 Cataluña;Oceanía ;2016;217
09 Cataluña;Oceanía ;2015;168
09 Cataluña;Oceanía ;2014;173
09 Cataluña;Oceanía ;2013;152
10 Comunitat Valenciana;Total;2021;79.301
10 Comunitat Valenciana;Total;2020;63.246
10 Comunitat Valenciana;Total;2019;97.307
10 Comunitat Valenciana;Total;2018;83.770
10 Comunitat Valenciana;Total;2017;66.342
10 Comunitat Valenciana;Total;2016;52.814
10 Comunitat Valenciana;Total;2015;44.039
10 Comunitat Valenciana;Total;2014;40.661
10 Comunitat Valenciana;Total;2013;36.474
10 Comunitat Valenciana;España;2021;3.469
10 Comunitat Valenciana;España;2020;2.605
10 Comunitat Valenciana;España;2019;3.484
10 Comunitat Valenciana;España;2018;3.498
10 Comunitat Valenciana;España;2017;3.760
10 Comunitat Valenciana;España;2016;3.458
10 Comunitat Valenciana;España;2015;2.953
10 Comunitat Valenciana;España;2014;2.621
10 Comunitat Valenciana;España;2013;2.027
10 Comunitat Valenciana;UE27_2020 sin España;2021;17.852
10 Comunitat Valenciana;UE27_2020 sin España;2020;12.073
10 Comunitat Valenciana;UE27_2020 sin España;2019;""
10 Comunitat Valenciana;UE27_2020 sin España;2018;""
10 Comunitat Valenciana;UE27_2020 sin España;2017;""
10 Comunitat Valenciana;UE27_2020 sin España;2016;""
10 Comunitat Valenciana;UE27_2020 sin España;2015;""
10 Comunitat Valenciana;UE27_2020 sin España;2014;""
10 Comunitat Valenciana;UE27_2020 sin España;2013;""
10 Comunitat Valenciana;UE28 sin España;2021;""
10 Comunitat Valenciana;UE28 sin España;2020;""
10 Comunitat Valenciana;UE28 sin España;2019;24.901
10 Comunitat Valenciana;UE28 sin España;2018;24.677
10 Comunitat Valenciana;UE28 sin España;2017;22.068
10 Comunitat Valenciana;UE28 sin España;2016;18.774
10 Comunitat Valenciana;UE28 sin España;2015;16.867
10 Comunitat Valenciana;UE28 sin España;2014;16.282
10 Comunitat Valenciana;UE28 sin España;2013;14.275
10 Comunitat Valenciana;Europa menos UE27_2020;2021;14.044
10 Comunitat Valenciana;Europa menos UE27_2020;2020;12.373
10 Comunitat Valenciana;Europa menos UE27_2020;2019;""
10 Comunitat Valenciana;Europa menos UE27_2020;2018;""
10 Comunitat Valenciana;Europa menos UE27_2020;2017;""
10 Comunitat Valenciana;Europa menos UE27_2020;2016;""
10 Comunitat Valenciana;Europa menos UE27_2020;2015;""
10 Comunitat Valenciana;Europa menos UE27_2020;2014;""
10 Comunitat Valenciana;Europa menos UE27_2020;2013;""
10 Comunitat Valenciana;Europa menos UE28;2021;""
10 Comunitat Valenciana;Europa menos UE28;2020;""
10 Comunitat Valenciana;Europa menos UE28;2019;7.766
10 Comunitat Valenciana;Europa menos UE28;2018;7.220
10 Comunitat Valenciana;Europa menos UE28;2017;5.774
10 Comunitat Valenciana;Europa menos UE28;2016;4.964
10 Comunitat Valenciana;Europa menos UE28;2015;5.653
10 Comunitat Valenciana;Europa menos UE28;2014;5.470
10 Comunitat Valenciana;Europa menos UE28;2013;5.115
10 Comunitat Valenciana;África;2021;11.587
10 Comunitat Valenciana;África;2020;7.953
10 Comunitat Valenciana;África;2019;13.805
10 Comunitat Valenciana;África;2018;11.460
10 Comunitat Valenciana;África;2017;8.268
10 Comunitat Valenciana;África;2016;6.832
10 Comunitat Valenciana;África;2015;5.855
10 Comunitat Valenciana;África;2014;5.664
10 Comunitat Valenciana;África;2013;5.738
10 Comunitat Valenciana;América del Norte;2021;1.899
10 Comunitat Valenciana;América del Norte;2020;1.100
10 Comunitat Valenciana;América del Norte;2019;1.784
10 Comunitat Valenciana;América del Norte;2018;1.446
10 Comunitat Valenciana;América del Norte;2017;1.222
10 Comunitat Valenciana;América del Norte;2016;953
10 Comunitat Valenciana;América del Norte;2015;802
10 Comunitat Valenciana;América del Norte;2014;720
10 Comunitat Valenciana;América del Norte;2013;566
10 Comunitat Valenciana;Centro América y Caribe;2021;3.764
10 Comunitat Valenciana;Centro América y Caribe;2020;3.773
10 Comunitat Valenciana;Centro América y Caribe;2019;6.423
10 Comunitat Valenciana;Centro América y Caribe;2018;4.595
10 Comunitat Valenciana;Centro América y Caribe;2017;3.546
10 Comunitat Valenciana;Centro América y Caribe;2016;2.363
10 Comunitat Valenciana;Centro América y Caribe;2015;1.706
10 Comunitat Valenciana;Centro América y Caribe;2014;1.409
10 Comunitat Valenciana;Centro América y Caribe;2013;1.365
10 Comunitat Valenciana;Sudamérica;2021;21.978
10 Comunitat Valenciana;Sudamérica;2020;19.858
10 Comunitat Valenciana;Sudamérica;2019;32.462
10 Comunitat Valenciana;Sudamérica;2018;24.992
10 Comunitat Valenciana;Sudamérica;2017;16.757
10 Comunitat Valenciana;Sudamérica;2016;11.297
10 Comunitat Valenciana;Sudamérica;2015;6.797
10 Comunitat Valenciana;Sudamérica;2014;5.042
10 Comunitat Valenciana;Sudamérica;2013;4.000
10 Comunitat Valenciana;Asia;2021;4.614
10 Comunitat Valenciana;Asia;2020;3.413
10 Comunitat Valenciana;Asia;2019;6.553
10 Comunitat Valenciana;Asia;2018;5.771
10 Comunitat Valenciana;Asia;2017;4.848
10 Comunitat Valenciana;Asia;2016;4.069
10 Comunitat Valenciana;Asia;2015;3.329
10 Comunitat Valenciana;Asia;2014;3.404
10 Comunitat Valenciana;Asia;2013;3.327
10 Comunitat Valenciana;Oceanía ;2021;94
10 Comunitat Valenciana;Oceanía ;2020;98
10 Comunitat Valenciana;Oceanía ;2019;129
10 Comunitat Valenciana;Oceanía ;2018;111
10 Comunitat Valenciana;Oceanía ;2017;99
10 Comunitat Valenciana;Oceanía ;2016;104
10 Comunitat Valenciana;Oceanía ;2015;77
10 Comunitat Valenciana;Oceanía ;2014;50
10 Comunitat Valenciana;Oceanía ;2013;60
11 Extremadura;Total;2021;3.333
11 Extremadura;Total;2020;3.241
11 Extremadura;Total;2019;4.725
11 Extremadura;Total;2018;3.886
11 Extremadura;Total;2017;3.114
11 Extremadura;Total;2016;2.637
11 Extremadura;Total;2015;2.250
11 Extremadura;Total;2014;2.094
11 Extremadura;Total;2013;2.095
11 Extremadura;España;2021;348
11 Extremadura;España;2020;312
11 Extremadura;España;2019;372
11 Extremadura;España;2018;356
11 Extremadura;España;2017;413
11 Extremadura;España;2016;361
11 Extremadura;España;2015;303
11 Extremadura;España;2014;275
11 Extremadura;España;2013;231
11 Extremadura;UE27_2020 sin España;2021;724
11 Extremadura;UE27_2020 sin España;2020;779
11 Extremadura;UE27_2020 sin España;2019;""
11 Extremadura;UE27_2020 sin España;2018;""
11 Extremadura;UE27_2020 sin España;2017;""
11 Extremadura;UE27_2020 sin España;2016;""
11 Extremadura;UE27_2020 sin España;2015;""
11 Extremadura;UE27_2020 sin España;2014;""
11 Extremadura;UE27_2020 sin España;2013;""
11 Extremadura;UE28 sin España;2021;""
11 Extremadura;UE28 sin España;2020;""
11 Extremadura;UE28 sin España;2019;925
11 Extremadura;UE28 sin España;2018;894
11 Extremadura;UE28 sin España;2017;769
11 Extremadura;UE28 sin España;2016;811
11 Extremadura;UE28 sin España;2015;845
11 Extremadura;UE28 sin España;2014;831
11 Extremadura;UE28 sin España;2013;907
11 Extremadura;Europa menos UE27_2020;2021;107
11 Extremadura;Europa menos UE27_2020;2020;120
11 Extremadura;Europa menos UE27_2020;2019;""
11 Extremadura;Europa menos UE27_2020;2018;""
11 Extremadura;Europa menos UE27_2020;2017;""
11 Extremadura;Europa menos UE27_2020;2016;""
11 Extremadura;Europa menos UE27_2020;2015;""
11 Extremadura;Europa menos UE27_2020;2014;""
11 Extremadura;Europa menos UE27_2020;2013;""
11 Extremadura;Europa menos UE28;2021;""
11 Extremadura;Europa menos UE28;2020;""
11 Extremadura;Europa menos UE28;2019;94
11 Extremadura;Europa menos UE28;2018;97
11 Extremadura;Europa menos UE28;2017;57
11 Extremadura;Europa menos UE28;2016;40
11 Extremadura;Europa menos UE28;2015;42
11 Extremadura;Europa menos UE28;2014;37
11 Extremadura;Europa menos UE28;2013;44
11 Extremadura;África;2021;614
11 Extremadura;África;2020;342
11 Extremadura;África;2019;688
11 Extremadura;África;2018;606
11 Extremadura;África;2017;423
11 Extremadura;África;2016;313
11 Extremadura;África;2015;244
11 Extremadura;África;2014;193
11 Extremadura;África;2013;220
11 Extremadura;América del Norte;2021;112
11 Extremadura;América del Norte;2020;86
11 Extremadura;América del Norte;2019;124
11 Extremadura;América del Norte;2018;152
11 Extremadura;América del Norte;2017;141
11 Extremadura;América del Norte;2016;108
11 Extremadura;América del Norte;2015;97
11 Extremadura;América del Norte;2014;78
11 Extremadura;América del Norte;2013;69
11 Extremadura;Centro América y Caribe;2021;426
11 Extremadura;Centro América y Caribe;2020;531
11 Extremadura;Centro América y Caribe;2019;939
11 Extremadura;Centro América y Caribe;2018;644
11 Extremadura;Centro América y Caribe;2017;436
11 Extremadura;Centro América y Caribe;2016;293
11 Extremadura;Centro América y Caribe;2015;218
