Comunidades y ciudades autónomas;País de nacimiento;Periodo;Total
01 Andalucía;UE28 sin España;2019;23.218
01 Andalucía;UE28 sin España;2018;20.709
01 Andalucía;UE28 sin España;2017;20.367
01 Andalucía;UE28 sin España;2016;17.211
01 Andalucía;UE28 sin España;2015;15.942
01 Andalucía;UE28 sin España;2014;16.191
01 Andalucía;UE28 sin España;2013;14.829
01 Andalucía;Europa menos UE27_2020;2021;11.661
01 Andalucía;Europa menos UE27_2020;2020;11.476
01 Andalucía;Europa menos UE27_2020;2019;""
01 Andalucía;Europa menos UE27_2020;2018;""
01 Andalucía;Europa menos UE27_2020;2017;""
01 Andalucía;Europa menos UE27_2020;2016;""
01 Andalucía;Europa menos UE27_2020;2015;""
01 Andalucía;Europa menos UE27_2020;2014;""
01 Andalucía;Europa menos UE27_2020;2013;""
01 Andalucía;Europa menos UE28;2021;""
01 Andalucía;Europa menos UE28;2020;""
01 Andalucía;Europa menos UE28;2019;3.842
01 Andalucía;Europa menos UE28;2018;3.426
01 Andalucía;Europa menos UE28;2017;3.248
01 Andalucía;Europa menos UE28;2016;3.064
01 Andalucía;Europa menos UE28;2015;3.489
01 Andalucía;Europa menos UE28;2014;2.898
01 Andalucía;Europa menos UE28;2013;2.341
01 Andalucía;África;2021;21.430
01 Andalucía;África;2020;14.850
01 Andalucía;África;2019;21.848
01 Andalucía;África;2018;18.298
01 Andalucía;África;2017;13.032
01 Andalucía;África;2016;9.750
01 Andalucía;África;2015;8.448
01 Andalucía;África;2014;7.631
01 Andalucía;África;2013;7.464
01 Andalucía;América del Norte;2021;2.291
01 Andalucía;América del Norte;2020;1.648
01 Andalucía;América del Norte;2019;2.152
01 Andalucía;América del Norte;2018;1.831
01 Andalucía;América del Norte;2017;1.740
01 Andalucía;América del Norte;2016;1.433
01 Andalucía;América del Norte;2015;1.319
01 Andalucía;América del Norte;2014;1.098
01 Andalucía;América del Norte;2013;1.146
01 Andalucía;Centro América y Caribe;2021;4.225
01 Andalucía;Centro América y Caribe;2020;5.693
01 Andalucía;Centro América y Caribe;2019;8.082
01 Andalucía;Centro América y Caribe;2018;4.951
01 Andalucía;Centro América y Caribe;2017;3.404
01 Andalucía;Centro América y Caribe;2016;2.330
01 Andalucía;Centro América y Caribe;2015;1.955
01 Andalucía;Centro América y Caribe;2014;1.879
01 Andalucía;Centro América y Caribe;2013;1.871
01 Andalucía;Sudamérica;2021;15.725
01 Andalucía;Sudamérica;2020;15.901
01 Andalucía;Sudamérica;2019;23.486
01 Andalucía;Sudamérica;2018;17.053
01 Andalucía;Sudamérica;2017;12.899
01 Andalucía;Sudamérica;2016;9.121
01 Andalucía;Sudamérica;2015;5.747
01 Andalucía;Sudamérica;2014;4.924
01 Andalucía;Sudamérica;2013;4.584
01 Andalucía;Asia;2021;3.199
01 Andalucía;Asia;2020;2.220
01 Andalucía;Asia;2019;3.746
01 Andalucía;Asia;2018;3.443
01 Andalucía;Asia;2017;3.212
01 Andalucía;Asia;2016;2.904
01 Andalucía;Asia;2015;2.281
01 Andalucía;Asia;2014;2.236
01 Andalucía;Asia;2013;2.137
01 Andalucía;Oceanía ;2021;150
01 Andalucía;Oceanía ;2020;110
01 Andalucía;Oceanía ;2019;149
01 Andalucía;Oceanía ;2018;154
01 Andalucía;Oceanía ;2017;138
01 Andalucía;Oceanía ;2016;85
01 Andalucía;Oceanía ;2015;113
01 Andalucía;Oceanía ;2014;103
01 Andalucía;Oceanía ;2013;66
02 Aragón;Total;2021;11.608
02 Aragón;Total;2020;10.919
02 Aragón;Total;2019;18.909
02 Aragón;Total;2018;16.564
02 Aragón;Total;2017;11.759
02 Aragón;Total;2016;9.127
02 Aragón;Total;2015;6.800
02 Aragón;Total;2014;6.098
02 Aragón;Total;2013;5.777
02 Aragón;España;2021;639
02 Aragón;España;2020;559
02 Aragón;España;2019;761
02 Aragón;España;2018;708
02 Aragón;España;2017;745
02 Aragón;España;2016;668
02 Aragón;España;2015;565
02 Aragón;España;2014;511
02 Aragón;España;2013;429
02 Aragón;UE27_2020 sin España;2021;1.948
02 Aragón;UE27_2020 sin España;2020;1.882
02 Aragón;UE27_2020 sin España;2019;""
02 Aragón;UE27_2020 sin España;2018;""
02 Aragón;UE27_2020 sin España;2017;""
02 Aragón;UE27_2020 sin España;2016;""
02 Aragón;UE27_2020 sin España;2015;""
02 Aragón;UE27_2020 sin España;2014;""
02 Aragón;UE27_2020 sin España;2013;""
02 Aragón;UE28 sin España;2021;""
02 Aragón;UE28 sin España;2020;""
02 Aragón;UE28 sin España;2019;3.107
02 Aragón;UE28 sin España;2018;3.366
02 Aragón;UE28 sin España;2017;3.036
02 Aragón;UE28 sin España;2016;2.673
02 Aragón;UE28 sin España;2015;2.179
02 Aragón;UE28 sin España;2014;2.136
02 Aragón;UE28 sin España;2013;1.879
02 Aragón;Europa menos UE27_2020;2021;327
02 Aragón;Europa menos UE27_2020;2020;330
02 Aragón;Europa menos UE27_2020;2019;""
02 Aragón;Europa menos UE27_2020;2018;""
