Lugar de condena;Nacionalidad;Periodo;Total
01 Andalucía;País de Europa menos UE28;2018;555
01 Andalucía;País de Europa menos UE28;2017;541
01 Andalucía;País de Europa menos UE28;2016;444
01 Andalucía;País de Europa menos UE28;2015;394
01 Andalucía;País de Europa menos UE28;2014;354
01 Andalucía;País de Europa menos UE28;2013;260
01 Andalucía;País de Europa menos UE27_2020;2021;1.201
01 Andalucía;País de Europa menos UE27_2020;2020;892
01 Andalucía;País de Europa menos UE27_2020;2019;""
01 Andalucía;País de Europa menos UE27_2020;2018;""
01 Andalucía;País de Europa menos UE27_2020;2017;""
01 Andalucía;País de Europa menos UE27_2020;2016;""
01 Andalucía;País de Europa menos UE27_2020;2015;""
01 Andalucía;País de Europa menos UE27_2020;2014;""
01 Andalucía;País de Europa menos UE27_2020;2013;""
01 Andalucía;De Africa;2021;4.993
01 Andalucía;De Africa;2020;3.580
01 Andalucía;De Africa;2019;4.241
01 Andalucía;De Africa;2018;4.051
01 Andalucía;De Africa;2017;3.598
01 Andalucía;De Africa;2016;3.523
01 Andalucía;De Africa;2015;2.872
01 Andalucía;De Africa;2014;2.976
01 Andalucía;De Africa;2013;3.181
01 Andalucía;De América;2021;2.386
01 Andalucía;De América;2020;1.723
01 Andalucía;De América;2019;2.066
01 Andalucía;De América;2018;2.048
01 Andalucía;De América;2017;1.761
01 Andalucía;De América;2016;1.717
01 Andalucía;De América;2015;1.650
01 Andalucía;De América;2014;1.687
01 Andalucía;De América;2013;1.927
01 Andalucía;De Asia;2021;347
01 Andalucía;De Asia;2020;192
01 Andalucía;De Asia;2019;297
01 Andalucía;De Asia;2018;308
01 Andalucía;De Asia;2017;289
01 Andalucía;De Asia;2016;267
01 Andalucía;De Asia;2015;189
01 Andalucía;De Asia;2014;192
01 Andalucía;De Asia;2013;206
01 Andalucía;De Oceanía;2021;4
01 Andalucía;De Oceanía;2020;2
01 Andalucía;De Oceanía;2019;6
01 Andalucía;De Oceanía;2018;3
01 Andalucía;De Oceanía;2017;3
01 Andalucía;De Oceanía;2016;12
01 Andalucía;De Oceanía;2015;2
01 Andalucía;De Oceanía;2014;3
01 Andalucía;De Oceanía;2013;18
02 Aragón;Total;2021;10.063
02 Aragón;Total;2020;7.672
02 Aragón;Total;2019;9.595
02 Aragón;Total;2018;9.266
02 Aragón;Total;2017;9.253
02 Aragón;Total;2016;8.900
02 Aragón;Total;2015;6.891
02 Aragón;Total;2014;6.358
02 Aragón;Total;2013;6.116
02 Aragón;Española;2021;6.861
02 Aragón;Española;2020;5.335
02 Aragón;Española;2019;6.882
02 Aragón;Española;2018;6.760
02 Aragón;Española;2017;6.813
02 Aragón;Española;2016;6.585
02 Aragón;Española;2015;5.033
02 Aragón;Española;2014;4.524
02 Aragón;Española;2013;4.287
02 Aragón;País de la UE28 sin España;2021;""
02 Aragón;País de la UE28 sin España;2020;""
02 Aragón;País de la UE28 sin España;2019;1.051
02 Aragón;País de la UE28 sin España;2018;1.072
02 Aragón;País de la UE28 sin España;2017;1.082
02 Aragón;País de la UE28 sin España;2016;1.038
02 Aragón;País de la UE28 sin España;2015;809
02 Aragón;País de la UE28 sin España;2014;756
02 Aragón;País de la UE28 sin España;2013;789
02 Aragón;País de la UE27_2020 sin España;2021;1.131
02 Aragón;País de la UE27_2020 sin España;2020;935
02 Aragón;País de la UE27_2020 sin España;2019;""
02 Aragón;País de la UE27_2020 sin España;2018;""
02 Aragón;País de la UE27_2020 sin España;2017;""
02 Aragón;País de la UE27_2020 sin España;2016;""
02 Aragón;País de la UE27_2020 sin España;2015;""
02 Aragón;País de la UE27_2020 sin España;2014;""
02 Aragón;País de la UE27_2020 sin España;2013;""
02 Aragón;País de Europa menos UE28;2021;""
