Lugar de condena;Edad;Sexo;Periodo;Total
04 Balears, Illes;15 años;Mujeres;2018;54
04 Balears, Illes;15 años;Mujeres;2017;35
04 Balears, Illes;15 años;Mujeres;2016;42
04 Balears, Illes;15 años;Mujeres;2015;34
04 Balears, Illes;15 años;Mujeres;2014;30
04 Balears, Illes;15 años;Mujeres;2013;32
04 Balears, Illes;16 años;Total;2021;134
04 Balears, Illes;16 años;Total;2020;137
04 Balears, Illes;16 años;Total;2019;157
04 Balears, Illes;16 años;Total;2018;162
04 Balears, Illes;16 años;Total;2017;133
04 Balears, Illes;16 años;Total;2016;136
04 Balears, Illes;16 años;Total;2015;142
04 Balears, Illes;16 años;Total;2014;184
04 Balears, Illes;16 años;Total;2013;154
04 Balears, Illes;16 años;Hombres;2021;115
04 Balears, Illes;16 años;Hombres;2020;98
04 Balears, Illes;16 años;Hombres;2019;134
04 Balears, Illes;16 años;Hombres;2018;124
04 Balears, Illes;16 años;Hombres;2017;100
04 Balears, Illes;16 años;Hombres;2016;100
04 Balears, Illes;16 años;Hombres;2015;116
04 Balears, Illes;16 años;Hombres;2014;150
04 Balears, Illes;16 años;Hombres;2013;128
04 Balears, Illes;16 años;Mujeres;2021;19
04 Balears, Illes;16 años;Mujeres;2020;39
04 Balears, Illes;16 años;Mujeres;2019;23
04 Balears, Illes;16 años;Mujeres;2018;38
04 Balears, Illes;16 años;Mujeres;2017;33
04 Balears, Illes;16 años;Mujeres;2016;36
04 Balears, Illes;16 años;Mujeres;2015;26
04 Balears, Illes;16 años;Mujeres;2014;34
04 Balears, Illes;16 años;Mujeres;2013;26
04 Balears, Illes;17 años;Total;2021;146
04 Balears, Illes;17 años;Total;2020;142
04 Balears, Illes;17 años;Total;2019;144
04 Balears, Illes;17 años;Total;2018;168
04 Balears, Illes;17 años;Total;2017;139
04 Balears, Illes;17 años;Total;2016;127
04 Balears, Illes;17 años;Total;2015;168
04 Balears, Illes;17 años;Total;2014;149
04 Balears, Illes;17 años;Total;2013;159
04 Balears, Illes;17 años;Hombres;2021;124
04 Balears, Illes;17 años;Hombres;2020;107
04 Balears, Illes;17 años;Hombres;2019;122
04 Balears, Illes;17 años;Hombres;2018;135
04 Balears, Illes;17 años;Hombres;2017;110
04 Balears, Illes;17 años;Hombres;2016;109
04 Balears, Illes;17 años;Hombres;2015;134
04 Balears, Illes;17 años;Hombres;2014;130
04 Balears, Illes;17 años;Hombres;2013;135
04 Balears, Illes;17 años;Mujeres;2021;22
04 Balears, Illes;17 años;Mujeres;2020;35
04 Balears, Illes;17 años;Mujeres;2019;22
04 Balears, Illes;17 años;Mujeres;2018;33
04 Balears, Illes;17 años;Mujeres;2017;29
04 Balears, Illes;17 años;Mujeres;2016;18
04 Balears, Illes;17 años;Mujeres;2015;34
04 Balears, Illes;17 años;Mujeres;2014;19
04 Balears, Illes;17 años;Mujeres;2013;24
05 Canarias;Total;Total;2021;877
05 Canarias;Total;Total;2020;750
05 Canarias;Total;Total;2019;1.051
05 Canarias;Total;Total;2018;846
05 Canarias;Total;Total;2017;766
05 Canarias;Total;Total;2016;968
05 Canarias;Total;Total;2015;1.019
05 Canarias;Total;Total;2014;728
05 Canarias;Total;Total;2013;579
05 Canarias;Total;Hombres;2021;690
05 Canarias;Total;Hombres;2020;600
05 Canarias;Total;Hombres;2019;804
05 Canarias;Total;Hombres;2018;629
05 Canarias;Total;Hombres;2017;572
05 Canarias;Total;Hombres;2016;757
05 Canarias;Total;Hombres;2015;796
05 Canarias;Total;Hombres;2014;595
05 Canarias;Total;Hombres;2013;448
05 Canarias;Total;Mujeres;2021;187
05 Canarias;Total;Mujeres;2020;150
05 Canarias;Total;Mujeres;2019;247
05 Canarias;Total;Mujeres;2018;217
05 Canarias;Total;Mujeres;2017;194
05 Canarias;Total;Mujeres;2016;211
05 Canarias;Total;Mujeres;2015;223
05 Canarias;Total;Mujeres;2014;133
05 Canarias;Total;Mujeres;2013;131
05 Canarias;14 años;Total;2021;110
05 Canarias;14 años;Total;2020;95
05 Canarias;14 años;Total;2019;175
05 Canarias;14 años;Total;2018;153
05 Canarias;14 años;Total;2017;120
05 Canarias;14 años;Total;2016;168
05 Canarias;14 años;Total;2015;184
05 Canarias;14 años;Total;2014;113
05 Canarias;14 años;Total;2013;96
05 Canarias;14 años;Hombres;2021;79
05 Canarias;14 años;Hombres;2020;76
05 Canarias;14 años;Hombres;2019;133
05 Canarias;14 años;Hombres;2018;110
05 Canarias;14 años;Hombres;2017;79
05 Canarias;14 años;Hombres;2016;122
05 Canarias;14 años;Hombres;2015;137
05 Canarias;14 años;Hombres;2014;86
05 Canarias;14 años;Hombres;2013;70
05 Canarias;14 años;Mujeres;2021;31
05 Canarias;14 años;Mujeres;2020;19
05 Canarias;14 años;Mujeres;2019;42
05 Canarias;14 años;Mujeres;2018;43
05 Canarias;14 años;Mujeres;2017;41
05 Canarias;14 años;Mujeres;2016;46
05 Canarias;14 años;Mujeres;2015;47
05 Canarias;14 años;Mujeres;2014;27
05 Canarias;14 años;Mujeres;2013;26
05 Canarias;15 años;Total;2021;211
05 Canarias;15 años;Total;2020;190
05 Canarias;15 años;Total;2019;251
05 Canarias;15 años;Total;2018;182
05 Canarias;15 años;Total;2017;187
05 Canarias;15 años;Total;2016;204
05 Canarias;15 años;Total;2015;235
05 Canarias;15 años;Total;2014;156
05 Canarias;15 años;Total;2013;115
05 Canarias;15 años;Hombres;2021;166
05 Canarias;15 años;Hombres;2020;145
05 Canarias;15 años;Hombres;2019;192
05 Canarias;15 años;Hombres;2018;126
05 Canarias;15 años;Hombres;2017;132
05 Canarias;15 años;Hombres;2016;157
05 Canarias;15 años;Hombres;2015;176
05 Canarias;15 años;Hombres;2014;123
05 Canarias;15 años;Hombres;2013;82
05 Canarias;15 años;Mujeres;2021;45
05 Canarias;15 años;Mujeres;2020;45
05 Canarias;15 años;Mujeres;2019;59
05 Canarias;15 años;Mujeres;2018;56
05 Canarias;15 años;Mujeres;2017;55
05 Canarias;15 años;Mujeres;2016;47
05 Canarias;15 años;Mujeres;2015;59
05 Canarias;15 años;Mujeres;2014;33
05 Canarias;15 años;Mujeres;2013;33
05 Canarias;16 años;Total;2021;266
05 Canarias;16 años;Total;2020;238
05 Canarias;16 años;Total;2019;314
05 Canarias;16 años;Total;2018;259
05 Canarias;16 años;Total;2017;233
05 Canarias;16 años;Total;2016;297
05 Canarias;16 años;Total;2015;282
05 Canarias;16 años;Total;2014;212
05 Canarias;16 años;Total;2013;166
05 Canarias;16 años;Hombres;2021;204
05 Canarias;16 años;Hombres;2020;189
05 Canarias;16 años;Hombres;2019;240
05 Canarias;16 años;Hombres;2018;195
05 Canarias;16 años;Hombres;2017;179
05 Canarias;16 años;Hombres;2016;231
05 Canarias;16 años;Hombres;2015;224
05 Canarias;16 años;Hombres;2014;174
05 Canarias;16 años;Hombres;2013;133
05 Canarias;16 años;Mujeres;2021;62
05 Canarias;16 años;Mujeres;2020;49
05 Canarias;16 años;Mujeres;2019;74
05 Canarias;16 años;Mujeres;2018;64
05 Canarias;16 años;Mujeres;2017;54
05 Canarias;16 años;Mujeres;2016;66
05 Canarias;16 años;Mujeres;2015;58
05 Canarias;16 años;Mujeres;2014;38
05 Canarias;16 años;Mujeres;2013;33
05 Canarias;17 años;Total;2021;290
05 Canarias;17 años;Total;2020;227
05 Canarias;17 años;Total;2019;311
05 Canarias;17 años;Total;2018;252
05 Canarias;17 años;Total;2017;226
05 Canarias;17 años;Total;2016;299
05 Canarias;17 años;Total;2015;318
05 Canarias;17 años;Total;2014;247
05 Canarias;17 años;Total;2013;202
05 Canarias;17 años;Hombres;2021;241
05 Canarias;17 años;Hombres;2020;190
05 Canarias;17 años;Hombres;2019;239
05 Canarias;17 años;Hombres;2018;198
05 Canarias;17 años;Hombres;2017;182
05 Canarias;17 años;Hombres;2016;247
05 Canarias;17 años;Hombres;2015;259
05 Canarias;17 años;Hombres;2014;212
05 Canarias;17 años;Hombres;2013;163
05 Canarias;17 años;Mujeres;2021;49
05 Canarias;17 años;Mujeres;2020;37
05 Canarias;17 años;Mujeres;2019;72
05 Canarias;17 años;Mujeres;2018;54
05 Canarias;17 años;Mujeres;2017;44
05 Canarias;17 años;Mujeres;2016;52
05 Canarias;17 años;Mujeres;2015;59
05 Canarias;17 años;Mujeres;2014;35
05 Canarias;17 años;Mujeres;2013;39
06 Cantabria;Total;Total;2021;180
06 Cantabria;Total;Total;2020;147
06 Cantabria;Total;Total;2019;280
06 Cantabria;Total;Total;2018;198
06 Cantabria;Total;Total;2017;180
06 Cantabria;Total;Total;2016;155
06 Cantabria;Total;Total;2015;200
06 Cantabria;Total;Total;2014;218
06 Cantabria;Total;Total;2013;233
06 Cantabria;Total;Hombres;2021;138
06 Cantabria;Total;Hombres;2020;118
06 Cantabria;Total;Hombres;2019;223
06 Cantabria;Total;Hombres;2018;146
06 Cantabria;Total;Hombres;2017;151
06 Cantabria;Total;Hombres;2016;135
06 Cantabria;Total;Hombres;2015;170
06 Cantabria;Total;Hombres;2014;178
06 Cantabria;Total;Hombres;2013;181
06 Cantabria;Total;Mujeres;2021;42
06 Cantabria;Total;Mujeres;2020;29
06 Cantabria;Total;Mujeres;2019;57
06 Cantabria;Total;Mujeres;2018;52
06 Cantabria;Total;Mujeres;2017;29
06 Cantabria;Total;Mujeres;2016;20
06 Cantabria;Total;Mujeres;2015;30
06 Cantabria;Total;Mujeres;2014;40
06 Cantabria;Total;Mujeres;2013;52
06 Cantabria;14 años;Total;2021;30
06 Cantabria;14 años;Total;2020;24
06 Cantabria;14 años;Total;2019;51
06 Cantabria;14 años;Total;2018;28
06 Cantabria;14 años;Total;2017;29
06 Cantabria;14 años;Total;2016;17
06 Cantabria;14 años;Total;2015;28
06 Cantabria;14 años;Total;2014;32
06 Cantabria;14 años;Total;2013;33
06 Cantabria;14 años;Hombres;2021;21
06 Cantabria;14 años;Hombres;2020;14
06 Cantabria;14 años;Hombres;2019;45
06 Cantabria;14 años;Hombres;2018;20
06 Cantabria;14 años;Hombres;2017;24
06 Cantabria;14 años;Hombres;2016;13
06 Cantabria;14 años;Hombres;2015;26
06 Cantabria;14 años;Hombres;2014;25
06 Cantabria;14 años;Hombres;2013;23
06 Cantabria;14 años;Mujeres;2021;9
06 Cantabria;14 años;Mujeres;2020;10
06 Cantabria;14 años;Mujeres;2019;6
06 Cantabria;14 años;Mujeres;2018;8
06 Cantabria;14 años;Mujeres;2017;5
06 Cantabria;14 años;Mujeres;2016;4
06 Cantabria;14 años;Mujeres;2015;2
06 Cantabria;14 años;Mujeres;2014;7
06 Cantabria;14 años;Mujeres;2013;10
06 Cantabria;15 años;Total;2021;51
06 Cantabria;15 años;Total;2020;36
06 Cantabria;15 años;Total;2019;57
06 Cantabria;15 años;Total;2018;49
06 Cantabria;15 años;Total;2017;46
06 Cantabria;15 años;Total;2016;46
06 Cantabria;15 años;Total;2015;42
06 Cantabria;15 años;Total;2014;40
06 Cantabria;15 años;Total;2013;57
06 Cantabria;15 años;Hombres;2021;37
06 Cantabria;15 años;Hombres;2020;31
06 Cantabria;15 años;Hombres;2019;48
06 Cantabria;15 años;Hombres;2018;33
06 Cantabria;15 años;Hombres;2017;40
06 Cantabria;15 años;Hombres;2016;41
06 Cantabria;15 años;Hombres;2015;34
06 Cantabria;15 años;Hombres;2014;33
06 Cantabria;15 años;Hombres;2013;46
06 Cantabria;15 años;Mujeres;2021;14
06 Cantabria;15 años;Mujeres;2020;5
06 Cantabria;15 años;Mujeres;2019;9
06 Cantabria;15 años;Mujeres;2018;16
06 Cantabria;15 años;Mujeres;2017;6
06 Cantabria;15 años;Mujeres;2016;5
06 Cantabria;15 años;Mujeres;2015;8
06 Cantabria;15 años;Mujeres;2014;7
06 Cantabria;15 años;Mujeres;2013;11
06 Cantabria;16 años;Total;2021;44
06 Cantabria;16 años;Total;2020;43
06 Cantabria;16 años;Total;2019;71
06 Cantabria;16 años;Total;2018;58
06 Cantabria;16 años;Total;2017;52
06 Cantabria;16 años;Total;2016;45
06 Cantabria;16 años;Total;2015;65
06 Cantabria;16 años;Total;2014;58
06 Cantabria;16 años;Total;2013;69
06 Cantabria;16 años;Hombres;2021;38
06 Cantabria;16 años;Hombres;2020;38
06 Cantabria;16 años;Hombres;2019;56
06 Cantabria;16 años;Hombres;2018;41
06 Cantabria;16 años;Hombres;2017;46
06 Cantabria;16 años;Hombres;2016;38
06 Cantabria;16 años;Hombres;2015;51
06 Cantabria;16 años;Hombres;2014;45
06 Cantabria;16 años;Hombres;2013;57
06 Cantabria;16 años;Mujeres;2021;6
06 Cantabria;16 años;Mujeres;2020;5
06 Cantabria;16 años;Mujeres;2019;15
06 Cantabria;16 años;Mujeres;2018;17
06 Cantabria;16 años;Mujeres;2017;6
06 Cantabria;16 años;Mujeres;2016;7
06 Cantabria;16 años;Mujeres;2015;14
06 Cantabria;16 años;Mujeres;2014;13
06 Cantabria;16 años;Mujeres;2013;12
06 Cantabria;17 años;Total;2021;55
06 Cantabria;17 años;Total;2020;44
06 Cantabria;17 años;Total;2019;101
06 Cantabria;17 años;Total;2018;63
06 Cantabria;17 años;Total;2017;53
06 Cantabria;17 años;Total;2016;47
06 Cantabria;17 años;Total;2015;65
06 Cantabria;17 años;Total;2014;88
06 Cantabria;17 años;Total;2013;74
06 Cantabria;17 años;Hombres;2021;42
06 Cantabria;17 años;Hombres;2020;35
06 Cantabria;17 años;Hombres;2019;74
06 Cantabria;17 años;Hombres;2018;52
06 Cantabria;17 años;Hombres;2017;41
06 Cantabria;17 años;Hombres;2016;43
06 Cantabria;17 años;Hombres;2015;59
06 Cantabria;17 años;Hombres;2014;75
06 Cantabria;17 años;Hombres;2013;55
06 Cantabria;17 años;Mujeres;2021;13
06 Cantabria;17 años;Mujeres;2020;9
06 Cantabria;17 años;Mujeres;2019;27
06 Cantabria;17 años;Mujeres;2018;11
06 Cantabria;17 años;Mujeres;2017;12
06 Cantabria;17 años;Mujeres;2016;4
06 Cantabria;17 años;Mujeres;2015;6
06 Cantabria;17 años;Mujeres;2014;13
06 Cantabria;17 años;Mujeres;2013;19
07 Castilla y León;Total;Total;2021;753
07 Castilla y León;Total;Total;2020;640
07 Castilla y León;Total;Total;2019;707
07 Castilla y León;Total;Total;2018;758
07 Castilla y León;Total;Total;2017;769
07 Castilla y León;Total;Total;2016;738
07 Castilla y León;Total;Total;2015;879
07 Castilla y León;Total;Total;2014;886
07 Castilla y León;Total;Total;2013;816
07 Castilla y León;Total;Hombres;2021;556
07 Castilla y León;Total;Hombres;2020;484
07 Castilla y León;Total;Hombres;2019;529
07 Castilla y León;Total;Hombres;2018;562
07 Castilla y León;Total;Hombres;2017;587
07 Castilla y León;Total;Hombres;2016;540
07 Castilla y León;Total;Hombres;2015;675
07 Castilla y León;Total;Hombres;2014;659
07 Castilla y León;Total;Hombres;2013;614
07 Castilla y León;Total;Mujeres;2021;197
07 Castilla y León;Total;Mujeres;2020;156
07 Castilla y León;Total;Mujeres;2019;178
07 Castilla y León;Total;Mujeres;2018;196
07 Castilla y León;Total;Mujeres;2017;182
07 Castilla y León;Total;Mujeres;2016;198
07 Castilla y León;Total;Mujeres;2015;204
07 Castilla y León;Total;Mujeres;2014;227
07 Castilla y León;Total;Mujeres;2013;202
07 Castilla y León;14 años;Total;2021;171
07 Castilla y León;14 años;Total;2020;134
07 Castilla y León;14 años;Total;2019;150
07 Castilla y León;14 años;Total;2018;165
07 Castilla y León;14 años;Total;2017;140
07 Castilla y León;14 años;Total;2016;128
07 Castilla y León;14 años;Total;2015;149
07 Castilla y León;14 años;Total;2014;172
07 Castilla y León;14 años;Total;2013;158
07 Castilla y León;14 años;Hombres;2021;121
07 Castilla y León;14 años;Hombres;2020;96
07 Castilla y León;14 años;Hombres;2019;103
07 Castilla y León;14 años;Hombres;2018;113
07 Castilla y León;14 años;Hombres;2017;110
07 Castilla y León;14 años;Hombres;2016;88
07 Castilla y León;14 años;Hombres;2015;110
07 Castilla y León;14 años;Hombres;2014;123
07 Castilla y León;14 años;Hombres;2013;115
07 Castilla y León;14 años;Mujeres;2021;50
07 Castilla y León;14 años;Mujeres;2020;38
07 Castilla y León;14 años;Mujeres;2019;47
07 Castilla y León;14 años;Mujeres;2018;52
07 Castilla y León;14 años;Mujeres;2017;30
07 Castilla y León;14 años;Mujeres;2016;40
07 Castilla y León;14 años;Mujeres;2015;39
07 Castilla y León;14 años;Mujeres;2014;49
07 Castilla y León;14 años;Mujeres;2013;43
07 Castilla y León;15 años;Total;2021;182
07 Castilla y León;15 años;Total;2020;150
07 Castilla y León;15 años;Total;2019;188
07 Castilla y León;15 años;Total;2018;168
07 Castilla y León;15 años;Total;2017;169
07 Castilla y León;15 años;Total;2016;182
07 Castilla y León;15 años;Total;2015;214
07 Castilla y León;15 años;Total;2014;219
07 Castilla y León;15 años;Total;2013;200
07 Castilla y León;15 años;Hombres;2021;120
07 Castilla y León;15 años;Hombres;2020;111
07 Castilla y León;15 años;Hombres;2019;145
07 Castilla y León;15 años;Hombres;2018;113
07 Castilla y León;15 años;Hombres;2017;124
07 Castilla y León;15 años;Hombres;2016;141
07 Castilla y León;15 años;Hombres;2015;164
07 Castilla y León;15 años;Hombres;2014;163
07 Castilla y León;15 años;Hombres;2013;146
07 Castilla y León;15 años;Mujeres;2021;62
07 Castilla y León;15 años;Mujeres;2020;39
07 Castilla y León;15 años;Mujeres;2019;43
07 Castilla y León;15 años;Mujeres;2018;55
07 Castilla y León;15 años;Mujeres;2017;45
07 Castilla y León;15 años;Mujeres;2016;41
07 Castilla y León;15 años;Mujeres;2015;50
07 Castilla y León;15 años;Mujeres;2014;56
07 Castilla y León;15 años;Mujeres;2013;54
07 Castilla y León;16 años;Total;2021;198
07 Castilla y León;16 años;Total;2020;169
07 Castilla y León;16 años;Total;2019;193
07 Castilla y León;16 años;Total;2018;208
07 Castilla y León;16 años;Total;2017;221
07 Castilla y León;16 años;Total;2016;205
07 Castilla y León;16 años;Total;2015;250
07 Castilla y León;16 años;Total;2014;240
07 Castilla y León;16 años;Total;2013;217
07 Castilla y León;16 años;Hombres;2021;152
07 Castilla y León;16 años;Hombres;2020;125
07 Castilla y León;16 años;Hombres;2019;148
07 Castilla y León;16 años;Hombres;2018;155
07 Castilla y León;16 años;Hombres;2017;169
07 Castilla y León;16 años;Hombres;2016;145
07 Castilla y León;16 años;Hombres;2015;196
07 Castilla y León;16 años;Hombres;2014;175
07 Castilla y León;16 años;Hombres;2013;165
07 Castilla y León;16 años;Mujeres;2021;46
07 Castilla y León;16 años;Mujeres;2020;44
07 Castilla y León;16 años;Mujeres;2019;45
07 Castilla y León;16 años;Mujeres;2018;53
07 Castilla y León;16 años;Mujeres;2017;52
07 Castilla y León;16 años;Mujeres;2016;60
07 Castilla y León;16 años;Mujeres;2015;54
07 Castilla y León;16 años;Mujeres;2014;65
07 Castilla y León;16 años;Mujeres;2013;52
07 Castilla y León;17 años;Total;2021;202
07 Castilla y León;17 años;Total;2020;187
07 Castilla y León;17 años;Total;2019;176
07 Castilla y León;17 años;Total;2018;217
07 Castilla y León;17 años;Total;2017;239
07 Castilla y León;17 años;Total;2016;223
07 Castilla y León;17 años;Total;2015;266
07 Castilla y León;17 años;Total;2014;255
07 Castilla y León;17 años;Total;2013;241
07 Castilla y León;17 años;Hombres;2021;163
07 Castilla y León;17 años;Hombres;2020;152
07 Castilla y León;17 años;Hombres;2019;133
07 Castilla y León;17 años;Hombres;2018;181
07 Castilla y León;17 años;Hombres;2017;184
07 Castilla y León;17 años;Hombres;2016;166
07 Castilla y León;17 años;Hombres;2015;205
07 Castilla y León;17 años;Hombres;2014;198
07 Castilla y León;17 años;Hombres;2013;188
07 Castilla y León;17 años;Mujeres;2021;39
07 Castilla y León;17 años;Mujeres;2020;35
07 Castilla y León;17 años;Mujeres;2019;43
07 Castilla y León;17 años;Mujeres;2018;36
07 Castilla y León;17 años;Mujeres;2017;55
07 Castilla y León;17 años;Mujeres;2016;57
07 Castilla y León;17 años;Mujeres;2015;61
07 Castilla y León;17 años;Mujeres;2014;57
07 Castilla y León;17 años;Mujeres;2013;53
08 Castilla - La Mancha;Total;Total;2021;545
08 Castilla - La Mancha;Total;Total;2020;434
08 Castilla - La Mancha;Total;Total;2019;511
08 Castilla - La Mancha;Total;Total;2018;510
08 Castilla - La Mancha;Total;Total;2017;508
08 Castilla - La Mancha;Total;Total;2016;501
08 Castilla - La Mancha;Total;Total;2015;666
08 Castilla - La Mancha;Total;Total;2014;710
08 Castilla - La Mancha;Total;Total;2013;764
08 Castilla - La Mancha;Total;Hombres;2021;447
08 Castilla - La Mancha;Total;Hombres;2020;342
08 Castilla - La Mancha;Total;Hombres;2019;386
08 Castilla - La Mancha;Total;Hombres;2018;416
08 Castilla - La Mancha;Total;Hombres;2017;399
08 Castilla - La Mancha;Total;Hombres;2016;395
08 Castilla - La Mancha;Total;Hombres;2015;552
08 Castilla - La Mancha;Total;Hombres;2014;559
08 Castilla - La Mancha;Total;Hombres;2013;632
08 Castilla - La Mancha;Total;Mujeres;2021;98
08 Castilla - La Mancha;Total;Mujeres;2020;92
08 Castilla - La Mancha;Total;Mujeres;2019;125
08 Castilla - La Mancha;Total;Mujeres;2018;94
08 Castilla - La Mancha;Total;Mujeres;2017;109
08 Castilla - La Mancha;Total;Mujeres;2016;106
08 Castilla - La Mancha;Total;Mujeres;2015;114
08 Castilla - La Mancha;Total;Mujeres;2014;151
08 Castilla - La Mancha;Total;Mujeres;2013;132
08 Castilla - La Mancha;14 años;Total;2021;109
08 Castilla - La Mancha;14 años;Total;2020;88
08 Castilla - La Mancha;14 años;Total;2019;117
08 Castilla - La Mancha;14 años;Total;2018;95
08 Castilla - La Mancha;14 años;Total;2017;103
08 Castilla - La Mancha;14 años;Total;2016;96
08 Castilla - La Mancha;14 años;Total;2015;128
08 Castilla - La Mancha;14 años;Total;2014;118
08 Castilla - La Mancha;14 años;Total;2013;153
08 Castilla - La Mancha;14 años;Hombres;2021;87
08 Castilla - La Mancha;14 años;Hombres;2020;69
08 Castilla - La Mancha;14 años;Hombres;2019;80
08 Castilla - La Mancha;14 años;Hombres;2018;69
08 Castilla - La Mancha;14 años;Hombres;2017;80
08 Castilla - La Mancha;14 años;Hombres;2016;77
08 Castilla - La Mancha;14 años;Hombres;2015;103
08 Castilla - La Mancha;14 años;Hombres;2014;85
08 Castilla - La Mancha;14 años;Hombres;2013;125
08 Castilla - La Mancha;14 años;Mujeres;2021;22
08 Castilla - La Mancha;14 años;Mujeres;2020;19
08 Castilla - La Mancha;14 años;Mujeres;2019;37
08 Castilla - La Mancha;14 años;Mujeres;2018;26
08 Castilla - La Mancha;14 años;Mujeres;2017;23
08 Castilla - La Mancha;14 años;Mujeres;2016;19
08 Castilla - La Mancha;14 años;Mujeres;2015;25
08 Castilla - La Mancha;14 años;Mujeres;2014;33
08 Castilla - La Mancha;14 años;Mujeres;2013;28
08 Castilla - La Mancha;15 años;Total;2021;138
08 Castilla - La Mancha;15 años;Total;2020;83
08 Castilla - La Mancha;15 años;Total;2019;106
08 Castilla - La Mancha;15 años;Total;2018;126
08 Castilla - La Mancha;15 años;Total;2017;104
08 Castilla - La Mancha;15 años;Total;2016;127
08 Castilla - La Mancha;15 años;Total;2015;162
08 Castilla - La Mancha;15 años;Total;2014;161
08 Castilla - La Mancha;15 años;Total;2013;159
08 Castilla - La Mancha;15 años;Hombres;2021;107
08 Castilla - La Mancha;15 años;Hombres;2020;67
08 Castilla - La Mancha;15 años;Hombres;2019;84
08 Castilla - La Mancha;15 años;Hombres;2018;104
08 Castilla - La Mancha;15 años;Hombres;2017;78
08 Castilla - La Mancha;15 años;Hombres;2016;95
08 Castilla - La Mancha;15 años;Hombres;2015;123
08 Castilla - La Mancha;15 años;Hombres;2014;126
08 Castilla - La Mancha;15 años;Hombres;2013;130
08 Castilla - La Mancha;15 años;Mujeres;2021;31
08 Castilla - La Mancha;15 años;Mujeres;2020;16
08 Castilla - La Mancha;15 años;Mujeres;2019;22
08 Castilla - La Mancha;15 años;Mujeres;2018;22
08 Castilla - La Mancha;15 años;Mujeres;2017;26
08 Castilla - La Mancha;15 años;Mujeres;2016;32
08 Castilla - La Mancha;15 años;Mujeres;2015;39
08 Castilla - La Mancha;15 años;Mujeres;2014;35
08 Castilla - La Mancha;15 años;Mujeres;2013;29
08 Castilla - La Mancha;16 años;Total;2021;165
08 Castilla - La Mancha;16 años;Total;2020;125
08 Castilla - La Mancha;16 años;Total;2019;140
08 Castilla - La Mancha;16 años;Total;2018;155
08 Castilla - La Mancha;16 años;Total;2017;150
08 Castilla - La Mancha;16 años;Total;2016;136
08 Castilla - La Mancha;16 años;Total;2015;185
08 Castilla - La Mancha;16 años;Total;2014;199
08 Castilla - La Mancha;16 años;Total;2013;204
08 Castilla - La Mancha;16 años;Hombres;2021;145
08 Castilla - La Mancha;16 años;Hombres;2020;100
08 Castilla - La Mancha;16 años;Hombres;2019;102
08 Castilla - La Mancha;16 años;Hombres;2018;124
08 Castilla - La Mancha;16 años;Hombres;2017;116
08 Castilla - La Mancha;16 años;Hombres;2016;106
08 Castilla - La Mancha;16 años;Hombres;2015;157
08 Castilla - La Mancha;16 años;Hombres;2014;155
08 Castilla - La Mancha;16 años;Hombres;2013;169
08 Castilla - La Mancha;16 años;Mujeres;2021;20
08 Castilla - La Mancha;16 años;Mujeres;2020;25
08 Castilla - La Mancha;16 años;Mujeres;2019;38
08 Castilla - La Mancha;16 años;Mujeres;2018;31
08 Castilla - La Mancha;16 años;Mujeres;2017;34
08 Castilla - La Mancha;16 años;Mujeres;2016;30
08 Castilla - La Mancha;16 años;Mujeres;2015;28
08 Castilla - La Mancha;16 años;Mujeres;2014;44
08 Castilla - La Mancha;16 años;Mujeres;2013;35
08 Castilla - La Mancha;17 años;Total;2021;133
08 Castilla - La Mancha;17 años;Total;2020;138
08 Castilla - La Mancha;17 años;Total;2019;148
08 Castilla - La Mancha;17 años;Total;2018;134
08 Castilla - La Mancha;17 años;Total;2017;151
08 Castilla - La Mancha;17 años;Total;2016;142
08 Castilla - La Mancha;17 años;Total;2015;191
08 Castilla - La Mancha;17 años;Total;2014;232
08 Castilla - La Mancha;17 años;Total;2013;248
08 Castilla - La Mancha;17 años;Hombres;2021;108
08 Castilla - La Mancha;17 años;Hombres;2020;106
08 Castilla - La Mancha;17 años;Hombres;2019;120
08 Castilla - La Mancha;17 años;Hombres;2018;119
08 Castilla - La Mancha;17 años;Hombres;2017;125
08 Castilla - La Mancha;17 años;Hombres;2016;117
08 Castilla - La Mancha;17 años;Hombres;2015;169
08 Castilla - La Mancha;17 años;Hombres;2014;193
08 Castilla - La Mancha;17 años;Hombres;2013;208
08 Castilla - La Mancha;17 años;Mujeres;2021;25
08 Castilla - La Mancha;17 años;Mujeres;2020;32
08 Castilla - La Mancha;17 años;Mujeres;2019;28
08 Castilla - La Mancha;17 años;Mujeres;2018;15
08 Castilla - La Mancha;17 años;Mujeres;2017;26
08 Castilla - La Mancha;17 años;Mujeres;2016;25
08 Castilla - La Mancha;17 años;Mujeres;2015;22
08 Castilla - La Mancha;17 años;Mujeres;2014;39
08 Castilla - La Mancha;17 años;Mujeres;2013;40
09 Cataluña;Total;Total;2021;1.660
09 Cataluña;Total;Total;2020;1.252
09 Cataluña;Total;Total;2019;1.655
09 Cataluña;Total;Total;2018;1.669
09 Cataluña;Total;Total;2017;1.831
09 Cataluña;Total;Total;2016;1.530
09 Cataluña;Total;Total;2015;1.493
09 Cataluña;Total;Total;2014;1.800
09 Cataluña;Total;Total;2013;1.690
09 Cataluña;Total;Hombres;2021;1.440
09 Cataluña;Total;Hombres;2020;1.078
09 Cataluña;Total;Hombres;2019;1.433
