Lugar de condena;Edad;Sexo;Periodo;Total
Total Nacional;17 años;Mujeres;2021;638
Total Nacional;17 años;Mujeres;2020;555
Total Nacional;17 años;Mujeres;2019;758
Total Nacional;17 años;Mujeres;2018;707
Total Nacional;17 años;Mujeres;2017;671
Total Nacional;17 años;Mujeres;2016;652
Total Nacional;17 años;Mujeres;2015;780
Total Nacional;17 años;Mujeres;2014;777
Total Nacional;17 años;Mujeres;2013;753
01 Andalucía;Total;Total;2021;2.603
01 Andalucía;Total;Total;2020;2.382
01 Andalucía;Total;Total;2019;2.975
01 Andalucía;Total;Total;2018;2.775
01 Andalucía;Total;Total;2017;2.821
01 Andalucía;Total;Total;2016;2.975
01 Andalucía;Total;Total;2015;3.128
01 Andalucía;Total;Total;2014;3.398
01 Andalucía;Total;Total;2013;3.423
01 Andalucía;Total;Hombres;2021;2.109
01 Andalucía;Total;Hombres;2020;1.927
01 Andalucía;Total;Hombres;2019;2.343
01 Andalucía;Total;Hombres;2018;2.212
01 Andalucía;Total;Hombres;2017;2.257
01 Andalucía;Total;Hombres;2016;2.403
01 Andalucía;Total;Hombres;2015;2.498
01 Andalucía;Total;Hombres;2014;2.782
01 Andalucía;Total;Hombres;2013;2.800
01 Andalucía;Total;Mujeres;2021;494
01 Andalucía;Total;Mujeres;2020;455
01 Andalucía;Total;Mujeres;2019;632
01 Andalucía;Total;Mujeres;2018;563
01 Andalucía;Total;Mujeres;2017;564
01 Andalucía;Total;Mujeres;2016;572
01 Andalucía;Total;Mujeres;2015;630
01 Andalucía;Total;Mujeres;2014;616
01 Andalucía;Total;Mujeres;2013;623
01 Andalucía;14 años;Total;2021;490
01 Andalucía;14 años;Total;2020;450
01 Andalucía;14 años;Total;2019;565
01 Andalucía;14 años;Total;2018;561
01 Andalucía;14 años;Total;2017;508
01 Andalucía;14 años;Total;2016;557
01 Andalucía;14 años;Total;2015;536
01 Andalucía;14 años;Total;2014;573
01 Andalucía;14 años;Total;2013;549
01 Andalucía;14 años;Hombres;2021;378
01 Andalucía;14 años;Hombres;2020;352
01 Andalucía;14 años;Hombres;2019;394
01 Andalucía;14 años;Hombres;2018;407
01 Andalucía;14 años;Hombres;2017;378
01 Andalucía;14 años;Hombres;2016;434
01 Andalucía;14 años;Hombres;2015;422
01 Andalucía;14 años;Hombres;2014;445
01 Andalucía;14 años;Hombres;2013;418
01 Andalucía;14 años;Mujeres;2021;112
01 Andalucía;14 años;Mujeres;2020;98
01 Andalucía;14 años;Mujeres;2019;171
01 Andalucía;14 años;Mujeres;2018;154
01 Andalucía;14 años;Mujeres;2017;130
01 Andalucía;14 años;Mujeres;2016;123
01 Andalucía;14 años;Mujeres;2015;114
01 Andalucía;14 años;Mujeres;2014;128
01 Andalucía;14 años;Mujeres;2013;131
01 Andalucía;15 años;Total;2021;627
01 Andalucía;15 años;Total;2020;570
01 Andalucía;15 años;Total;2019;691
01 Andalucía;15 años;Total;2018;596
01 Andalucía;15 años;Total;2017;682
01 Andalucía;15 años;Total;2016;746
01 Andalucía;15 años;Total;2015;737
01 Andalucía;15 años;Total;2014;806
01 Andalucía;15 años;Total;2013;751
01 Andalucía;15 años;Hombres;2021;502
01 Andalucía;15 años;Hombres;2020;448
01 Andalucía;15 años;Hombres;2019;553
01 Andalucía;15 años;Hombres;2018;473
01 Andalucía;15 años;Hombres;2017;520
01 Andalucía;15 años;Hombres;2016;599
01 Andalucía;15 años;Hombres;2015;580
01 Andalucía;15 años;Hombres;2014;654
01 Andalucía;15 años;Hombres;2013;621
01 Andalucía;15 años;Mujeres;2021;125
01 Andalucía;15 años;Mujeres;2020;122
01 Andalucía;15 años;Mujeres;2019;138
01 Andalucía;15 años;Mujeres;2018;123
01 Andalucía;15 años;Mujeres;2017;162
01 Andalucía;15 años;Mujeres;2016;147
01 Andalucía;15 años;Mujeres;2015;157
01 Andalucía;15 años;Mujeres;2014;152
01 Andalucía;15 años;Mujeres;2013;130
01 Andalucía;16 años;Total;2021;724
01 Andalucía;16 años;Total;2020;638
01 Andalucía;16 años;Total;2019;849
01 Andalucía;16 años;Total;2018;803
01 Andalucía;16 años;Total;2017;809
01 Andalucía;16 años;Total;2016;804
01 Andalucía;16 años;Total;2015;874
01 Andalucía;16 años;Total;2014;974
01 Andalucía;16 años;Total;2013;1.002
01 Andalucía;16 años;Hombres;2021;588
01 Andalucía;16 años;Hombres;2020;529
01 Andalucía;16 años;Hombres;2019;676
01 Andalucía;16 años;Hombres;2018;648
01 Andalucía;16 años;Hombres;2017;655
01 Andalucía;16 años;Hombres;2016;652
01 Andalucía;16 años;Hombres;2015;686
01 Andalucía;16 años;Hombres;2014;803
01 Andalucía;16 años;Hombres;2013;811
01 Andalucía;16 años;Mujeres;2021;136
01 Andalucía;16 años;Mujeres;2020;109
01 Andalucía;16 años;Mujeres;2019;173
01 Andalucía;16 años;Mujeres;2018;155
01 Andalucía;16 años;Mujeres;2017;154
01 Andalucía;16 años;Mujeres;2016;152
01 Andalucía;16 años;Mujeres;2015;188
01 Andalucía;16 años;Mujeres;2014;171
