Lugar de condena;Sexo;Nacionalidad;Periodo;Total
01 Andalucía;Hombres;Española;2014;2.410
01 Andalucía;Hombres;Española;2013;2.380
01 Andalucía;Hombres;Extranjera;2021;266
01 Andalucía;Hombres;Extranjera;2020;267
01 Andalucía;Hombres;Extranjera;2019;362
01 Andalucía;Hombres;Extranjera;2018;295
01 Andalucía;Hombres;Extranjera;2017;294
01 Andalucía;Hombres;Extranjera;2016;346
01 Andalucía;Hombres;Extranjera;2015;360
01 Andalucía;Hombres;Extranjera;2014;372
01 Andalucía;Hombres;Extranjera;2013;420
01 Andalucía;Mujeres;Total;2021;494
01 Andalucía;Mujeres;Total;2020;455
01 Andalucía;Mujeres;Total;2019;632
01 Andalucía;Mujeres;Total;2018;563
01 Andalucía;Mujeres;Total;2017;564
01 Andalucía;Mujeres;Total;2016;572
01 Andalucía;Mujeres;Total;2015;630
01 Andalucía;Mujeres;Total;2014;616
01 Andalucía;Mujeres;Total;2013;623
01 Andalucía;Mujeres;Española;2021;457
01 Andalucía;Mujeres;Española;2020;420
01 Andalucía;Mujeres;Española;2019;585
01 Andalucía;Mujeres;Española;2018;518
01 Andalucía;Mujeres;Española;2017;524
01 Andalucía;Mujeres;Española;2016;518
01 Andalucía;Mujeres;Española;2015;572
01 Andalucía;Mujeres;Española;2014;559
01 Andalucía;Mujeres;Española;2013;565
01 Andalucía;Mujeres;Extranjera;2021;37
01 Andalucía;Mujeres;Extranjera;2020;35
01 Andalucía;Mujeres;Extranjera;2019;47
01 Andalucía;Mujeres;Extranjera;2018;45
01 Andalucía;Mujeres;Extranjera;2017;40
01 Andalucía;Mujeres;Extranjera;2016;54
01 Andalucía;Mujeres;Extranjera;2015;58
01 Andalucía;Mujeres;Extranjera;2014;57
01 Andalucía;Mujeres;Extranjera;2013;58
02 Aragón;Total;Total;2021;380
02 Aragón;Total;Total;2020;274
02 Aragón;Total;Total;2019;328
02 Aragón;Total;Total;2018;316
02 Aragón;Total;Total;2017;313
02 Aragón;Total;Total;2016;250
02 Aragón;Total;Total;2015;231
02 Aragón;Total;Total;2014;274
02 Aragón;Total;Total;2013;303
02 Aragón;Total;Española;2021;252
02 Aragón;Total;Española;2020;173
02 Aragón;Total;Española;2019;233
02 Aragón;Total;Española;2018;218
02 Aragón;Total;Española;2017;223
02 Aragón;Total;Española;2016;187
02 Aragón;Total;Española;2015;163
02 Aragón;Total;Española;2014;182
02 Aragón;Total;Española;2013;192
02 Aragón;Total;Extranjera;2021;128
02 Aragón;Total;Extranjera;2020;101
02 Aragón;Total;Extranjera;2019;95
02 Aragón;Total;Extranjera;2018;98
02 Aragón;Total;Extranjera;2017;90
02 Aragón;Total;Extranjera;2016;63
02 Aragón;Total;Extranjera;2015;68
02 Aragón;Total;Extranjera;2014;92
02 Aragón;Total;Extranjera;2013;111
02 Aragón;Hombres;Total;2021;306
02 Aragón;Hombres;Total;2020;239
02 Aragón;Hombres;Total;2019;267
02 Aragón;Hombres;Total;2018;251
02 Aragón;Hombres;Total;2017;261
02 Aragón;Hombres;Total;2016;211
02 Aragón;Hombres;Total;2015;189
02 Aragón;Hombres;Total;2014;216
02 Aragón;Hombres;Total;2013;248
02 Aragón;Hombres;Española;2021;190
02 Aragón;Hombres;Española;2020;143
02 Aragón;Hombres;Española;2019;186
02 Aragón;Hombres;Española;2018;168
02 Aragón;Hombres;Española;2017;180
02 Aragón;Hombres;Española;2016;154
02 Aragón;Hombres;Española;2015;124
02 Aragón;Hombres;Española;2014;141
02 Aragón;Hombres;Española;2013;152
02 Aragón;Hombres;Extranjera;2021;116
02 Aragón;Hombres;Extranjera;2020;96
02 Aragón;Hombres;Extranjera;2019;81
02 Aragón;Hombres;Extranjera;2018;83
02 Aragón;Hombres;Extranjera;2017;81
02 Aragón;Hombres;Extranjera;2016;57
02 Aragón;Hombres;Extranjera;2015;65
02 Aragón;Hombres;Extranjera;2014;75
02 Aragón;Hombres;Extranjera;2013;96
02 Aragón;Mujeres;Total;2021;74
02 Aragón;Mujeres;Total;2020;35
02 Aragón;Mujeres;Total;2019;61
02 Aragón;Mujeres;Total;2018;65
02 Aragón;Mujeres;Total;2017;52
02 Aragón;Mujeres;Total;2016;39
02 Aragón;Mujeres;Total;2015;42
02 Aragón;Mujeres;Total;2014;58
02 Aragón;Mujeres;Total;2013;55
02 Aragón;Mujeres;Española;2021;62
02 Aragón;Mujeres;Española;2020;30
02 Aragón;Mujeres;Española;2019;47
02 Aragón;Mujeres;Española;2018;50
02 Aragón;Mujeres;Española;2017;43
02 Aragón;Mujeres;Española;2016;33
02 Aragón;Mujeres;Española;2015;39
02 Aragón;Mujeres;Española;2014;41
02 Aragón;Mujeres;Española;2013;40
02 Aragón;Mujeres;Extranjera;2021;12
02 Aragón;Mujeres;Extranjera;2020;5
02 Aragón;Mujeres;Extranjera;2019;14
02 Aragón;Mujeres;Extranjera;2018;15
02 Aragón;Mujeres;Extranjera;2017;9
02 Aragón;Mujeres;Extranjera;2016;6
02 Aragón;Mujeres;Extranjera;2015;3
02 Aragón;Mujeres;Extranjera;2014;17
02 Aragón;Mujeres;Extranjera;2013;15
03 Asturias, Principado de;Total;Total;2021;263
03 Asturias, Principado de;Total;Total;2020;186
03 Asturias, Principado de;Total;Total;2019;312
03 Asturias, Principado de;Total;Total;2018;307
03 Asturias, Principado de;Total;Total;2017;272
03 Asturias, Principado de;Total;Total;2016;275
03 Asturias, Principado de;Total;Total;2015;283
03 Asturias, Principado de;Total;Total;2014;280
03 Asturias, Principado de;Total;Total;2013;270
03 Asturias, Principado de;Total;Española;2021;238
03 Asturias, Principado de;Total;Española;2020;159
03 Asturias, Principado de;Total;Española;2019;269
03 Asturias, Principado de;Total;Española;2018;265
03 Asturias, Principado de;Total;Española;2017;232
03 Asturias, Principado de;Total;Española;2016;221
03 Asturias, Principado de;Total;Española;2015;243
03 Asturias, Principado de;Total;Española;2014;222
03 Asturias, Principado de;Total;Española;2013;192
03 Asturias, Principado de;Total;Extranjera;2021;25
03 Asturias, Principado de;Total;Extranjera;2020;27
03 Asturias, Principado de;Total;Extranjera;2019;43
03 Asturias, Principado de;Total;Extranjera;2018;42
03 Asturias, Principado de;Total;Extranjera;2017;40
03 Asturias, Principado de;Total;Extranjera;2016;54
03 Asturias, Principado de;Total;Extranjera;2015;40
03 Asturias, Principado de;Total;Extranjera;2014;58
03 Asturias, Principado de;Total;Extranjera;2013;78
03 Asturias, Principado de;Hombres;Total;2021;205
03 Asturias, Principado de;Hombres;Total;2020;144
03 Asturias, Principado de;Hombres;Total;2019;232
03 Asturias, Principado de;Hombres;Total;2018;237
03 Asturias, Principado de;Hombres;Total;2017;211
03 Asturias, Principado de;Hombres;Total;2016;223
03 Asturias, Principado de;Hombres;Total;2015;231
03 Asturias, Principado de;Hombres;Total;2014;210
03 Asturias, Principado de;Hombres;Total;2013;222
03 Asturias, Principado de;Hombres;Española;2021;182
03 Asturias, Principado de;Hombres;Española;2020;121
03 Asturias, Principado de;Hombres;Española;2019;196
03 Asturias, Principado de;Hombres;Española;2018;202
03 Asturias, Principado de;Hombres;Española;2017;176
03 Asturias, Principado de;Hombres;Española;2016;179
03 Asturias, Principado de;Hombres;Española;2015;198
03 Asturias, Principado de;Hombres;Española;2014;160
03 Asturias, Principado de;Hombres;Española;2013;148
03 Asturias, Principado de;Hombres;Extranjera;2021;23
03 Asturias, Principado de;Hombres;Extranjera;2020;23
03 Asturias, Principado de;Hombres;Extranjera;2019;36
03 Asturias, Principado de;Hombres;Extranjera;2018;35
03 Asturias, Principado de;Hombres;Extranjera;2017;35
03 Asturias, Principado de;Hombres;Extranjera;2016;44
03 Asturias, Principado de;Hombres;Extranjera;2015;33
03 Asturias, Principado de;Hombres;Extranjera;2014;50
03 Asturias, Principado de;Hombres;Extranjera;2013;74
03 Asturias, Principado de;Mujeres;Total;2021;58
03 Asturias, Principado de;Mujeres;Total;2020;42
03 Asturias, Principado de;Mujeres;Total;2019;80
03 Asturias, Principado de;Mujeres;Total;2018;70
03 Asturias, Principado de;Mujeres;Total;2017;61
03 Asturias, Principado de;Mujeres;Total;2016;52
03 Asturias, Principado de;Mujeres;Total;2015;52
03 Asturias, Principado de;Mujeres;Total;2014;70
03 Asturias, Principado de;Mujeres;Total;2013;48
03 Asturias, Principado de;Mujeres;Española;2021;56
03 Asturias, Principado de;Mujeres;Española;2020;38
03 Asturias, Principado de;Mujeres;Española;2019;73
03 Asturias, Principado de;Mujeres;Española;2018;63
03 Asturias, Principado de;Mujeres;Española;2017;56
03 Asturias, Principado de;Mujeres;Española;2016;42
03 Asturias, Principado de;Mujeres;Española;2015;45
03 Asturias, Principado de;Mujeres;Española;2014;62
03 Asturias, Principado de;Mujeres;Española;2013;44
03 Asturias, Principado de;Mujeres;Extranjera;2021;2
03 Asturias, Principado de;Mujeres;Extranjera;2020;4
03 Asturias, Principado de;Mujeres;Extranjera;2019;7
03 Asturias, Principado de;Mujeres;Extranjera;2018;7
03 Asturias, Principado de;Mujeres;Extranjera;2017;5
03 Asturias, Principado de;Mujeres;Extranjera;2016;10
03 Asturias, Principado de;Mujeres;Extranjera;2015;7
03 Asturias, Principado de;Mujeres;Extranjera;2014;8
03 Asturias, Principado de;Mujeres;Extranjera;2013;4
04 Balears, Illes;Total;Total;2021;504
04 Balears, Illes;Total;Total;2020;485
04 Balears, Illes;Total;Total;2019;547
04 Balears, Illes;Total;Total;2018;616
04 Balears, Illes;Total;Total;2017;498
04 Balears, Illes;Total;Total;2016;502
04 Balears, Illes;Total;Total;2015;551
04 Balears, Illes;Total;Total;2014;550
04 Balears, Illes;Total;Total;2013;553
04 Balears, Illes;Total;Española;2021;409
04 Balears, Illes;Total;Española;2020;391
04 Balears, Illes;Total;Española;2019;436
04 Balears, Illes;Total;Española;2018;502
04 Balears, Illes;Total;Española;2017;405
04 Balears, Illes;Total;Española;2016;414
04 Balears, Illes;Total;Española;2015;429
04 Balears, Illes;Total;Española;2014;412
04 Balears, Illes;Total;Española;2013;386
04 Balears, Illes;Total;Extranjera;2021;95
04 Balears, Illes;Total;Extranjera;2020;94
04 Balears, Illes;Total;Extranjera;2019;111
04 Balears, Illes;Total;Extranjera;2018;114
04 Balears, Illes;Total;Extranjera;2017;93
04 Balears, Illes;Total;Extranjera;2016;88
04 Balears, Illes;Total;Extranjera;2015;122
04 Balears, Illes;Total;Extranjera;2014;138
04 Balears, Illes;Total;Extranjera;2013;167
04 Balears, Illes;Hombres;Total;2021;419
04 Balears, Illes;Hombres;Total;2020;365
04 Balears, Illes;Hombres;Total;2019;434
04 Balears, Illes;Hombres;Total;2018;447
04 Balears, Illes;Hombres;Total;2017;370
04 Balears, Illes;Hombres;Total;2016;375
04 Balears, Illes;Hombres;Total;2015;427
04 Balears, Illes;Hombres;Total;2014;447
04 Balears, Illes;Hombres;Total;2013;447
04 Balears, Illes;Hombres;Española;2021;336
04 Balears, Illes;Hombres;Española;2020;292
04 Balears, Illes;Hombres;Española;2019;334
04 Balears, Illes;Hombres;Española;2018;350
04 Balears, Illes;Hombres;Española;2017;295
04 Balears, Illes;Hombres;Española;2016;306
04 Balears, Illes;Hombres;Española;2015;325
04 Balears, Illes;Hombres;Española;2014;335
04 Balears, Illes;Hombres;Española;2013;307
04 Balears, Illes;Hombres;Extranjera;2021;83
04 Balears, Illes;Hombres;Extranjera;2020;73
04 Balears, Illes;Hombres;Extranjera;2019;100
04 Balears, Illes;Hombres;Extranjera;2018;97
04 Balears, Illes;Hombres;Extranjera;2017;75
04 Balears, Illes;Hombres;Extranjera;2016;69
04 Balears, Illes;Hombres;Extranjera;2015;102
04 Balears, Illes;Hombres;Extranjera;2014;112
04 Balears, Illes;Hombres;Extranjera;2013;140
04 Balears, Illes;Mujeres;Total;2021;85
04 Balears, Illes;Mujeres;Total;2020;120
04 Balears, Illes;Mujeres;Total;2019;113
04 Balears, Illes;Mujeres;Total;2018;169
04 Balears, Illes;Mujeres;Total;2017;128
04 Balears, Illes;Mujeres;Total;2016;127
04 Balears, Illes;Mujeres;Total;2015;124
04 Balears, Illes;Mujeres;Total;2014;103
04 Balears, Illes;Mujeres;Total;2013;106
04 Balears, Illes;Mujeres;Española;2021;73
04 Balears, Illes;Mujeres;Española;2020;99
04 Balears, Illes;Mujeres;Española;2019;102
04 Balears, Illes;Mujeres;Española;2018;152
04 Balears, Illes;Mujeres;Española;2017;110
04 Balears, Illes;Mujeres;Española;2016;108
04 Balears, Illes;Mujeres;Española;2015;104
04 Balears, Illes;Mujeres;Española;2014;77
04 Balears, Illes;Mujeres;Española;2013;79
04 Balears, Illes;Mujeres;Extranjera;2021;12
04 Balears, Illes;Mujeres;Extranjera;2020;21
