Comunidades y ciudades autónomas;Sexo;Nacionalidad;Periodo;Total
01 Andalucía;Hombres;Española;2016;36.560
01 Andalucía;Hombres;Española;2015;31.826
01 Andalucía;Hombres;Española;2014;31.226
01 Andalucía;Hombres;Española;2013;32.326
01 Andalucía;Hombres;Extranjera;2021;7.473
01 Andalucía;Hombres;Extranjera;2020;5.496
01 Andalucía;Hombres;Extranjera;2019;6.849
01 Andalucía;Hombres;Extranjera;2018;6.765
01 Andalucía;Hombres;Extranjera;2017;6.325
01 Andalucía;Hombres;Extranjera;2016;6.546
01 Andalucía;Hombres;Extranjera;2015;5.787
01 Andalucía;Hombres;Extranjera;2014;6.008
01 Andalucía;Hombres;Extranjera;2013;6.576
01 Andalucía;Mujeres;Total;2021;10.497
01 Andalucía;Mujeres;Total;2020;8.035
01 Andalucía;Mujeres;Total;2019;11.224
01 Andalucía;Mujeres;Total;2018;12.074
01 Andalucía;Mujeres;Total;2017;11.627
01 Andalucía;Mujeres;Total;2016;10.068
01 Andalucía;Mujeres;Total;2015;6.238
01 Andalucía;Mujeres;Total;2014;5.330
01 Andalucía;Mujeres;Total;2013;5.131
01 Andalucía;Mujeres;Española;2021;9.015
01 Andalucía;Mujeres;Española;2020;6.926
01 Andalucía;Mujeres;Española;2019;9.669
01 Andalucía;Mujeres;Española;2018;10.458
01 Andalucía;Mujeres;Española;2017;10.132
01 Andalucía;Mujeres;Española;2016;8.723
01 Andalucía;Mujeres;Española;2015;5.373
01 Andalucía;Mujeres;Española;2014;4.482
01 Andalucía;Mujeres;Española;2013;4.279
01 Andalucía;Mujeres;Extranjera;2021;1.482
01 Andalucía;Mujeres;Extranjera;2020;1.109
01 Andalucía;Mujeres;Extranjera;2019;1.555
01 Andalucía;Mujeres;Extranjera;2018;1.616
01 Andalucía;Mujeres;Extranjera;2017;1.495
01 Andalucía;Mujeres;Extranjera;2016;1.345
01 Andalucía;Mujeres;Extranjera;2015;865
01 Andalucía;Mujeres;Extranjera;2014;848
01 Andalucía;Mujeres;Extranjera;2013;852
02 Aragón;Total;Total;2021;6.898
02 Aragón;Total;Total;2020;5.521
02 Aragón;Total;Total;2019;6.742
02 Aragón;Total;Total;2018;6.471
02 Aragón;Total;Total;2017;6.583
02 Aragón;Total;Total;2016;6.696
02 Aragón;Total;Total;2015;5.501
02 Aragón;Total;Total;2014;5.079
02 Aragón;Total;Total;2013;4.931
02 Aragón;Total;Española;2021;4.704
02 Aragón;Total;Española;2020;3.854
02 Aragón;Total;Española;2019;4.790
02 Aragón;Total;Española;2018;4.679
02 Aragón;Total;Española;2017;4.822
02 Aragón;Total;Española;2016;4.877
02 Aragón;Total;Española;2015;4.017
02 Aragón;Total;Española;2014;3.602
02 Aragón;Total;Española;2013;3.447
02 Aragón;Total;Extranjera;2021;2.194
02 Aragón;Total;Extranjera;2020;1.667
02 Aragón;Total;Extranjera;2019;1.952
02 Aragón;Total;Extranjera;2018;1.792
02 Aragón;Total;Extranjera;2017;1.761
02 Aragón;Total;Extranjera;2016;1.819
02 Aragón;Total;Extranjera;2015;1.484
02 Aragón;Total;Extranjera;2014;1.477
02 Aragón;Total;Extranjera;2013;1.484
02 Aragón;Hombres;Total;2021;5.581
02 Aragón;Hombres;Total;2020;4.483
02 Aragón;Hombres;Total;2019;5.391
02 Aragón;Hombres;Total;2018;5.180
02 Aragón;Hombres;Total;2017;5.215
02 Aragón;Hombres;Total;2016;5.380
02 Aragón;Hombres;Total;2015;4.602
02 Aragón;Hombres;Total;2014;4.387
02 Aragón;Hombres;Total;2013;4.361
02 Aragón;Hombres;Española;2021;3.742
02 Aragón;Hombres;Española;2020;3.088
02 Aragón;Hombres;Española;2019;3.772
02 Aragón;Hombres;Española;2018;3.718
02 Aragón;Hombres;Española;2017;3.789
02 Aragón;Hombres;Española;2016;3.872
02 Aragón;Hombres;Española;2015;3.323
02 Aragón;Hombres;Española;2014;3.055
02 Aragón;Hombres;Española;2013;3.036
02 Aragón;Hombres;Extranjera;2021;1.839
02 Aragón;Hombres;Extranjera;2020;1.395
02 Aragón;Hombres;Extranjera;2019;1.619
02 Aragón;Hombres;Extranjera;2018;1.462
02 Aragón;Hombres;Extranjera;2017;1.426
02 Aragón;Hombres;Extranjera;2016;1.508
02 Aragón;Hombres;Extranjera;2015;1.279
02 Aragón;Hombres;Extranjera;2014;1.332
02 Aragón;Hombres;Extranjera;2013;1.325
02 Aragón;Mujeres;Total;2021;1.317
02 Aragón;Mujeres;Total;2020;1.038
02 Aragón;Mujeres;Total;2019;1.351
02 Aragón;Mujeres;Total;2018;1.291
02 Aragón;Mujeres;Total;2017;1.368
02 Aragón;Mujeres;Total;2016;1.316
